Hello, Hopalong Singh!	Hello, Hopalong Singh!
Hi-yah!!!	Hi-yah!!!
This not my table!	This not my table!
Hop Singh's a friend, not a foe! So quit pointing that thing at everyone.	Hop Singh's a friend, not a foe! So quit pointing that thing at everyone.
Main Street is its usual busy self today.	Main Street is its usual busy self today.
What are you going to do? Holler loud enough for the whole town to hear?	What are you going to do? Holler loud enough for the whole town to hear?
You'd fall off the balcony if you tried to reach them from here!	You'd fall off the balcony if you tried to reach them from here!
You can't try that from up here!	You can't try that from up here!
Don't waste your ammo shooting at innocents!	Don't waste your ammo shooting at innocents!
Caution: the Surgeon General has determined that you've gotten EXACTLY what you deserved.	Caution: the Surgeon General has determined that you've gotten EXACTLY what you deserved.
Next time, don't inhale.	Next time, don't inhale.
Poor, poor Freddy... died for lack of garlic butter!	Poor, poor Freddy... died for lack of garlic butter!
The Second Rule of the Old West Medicine Chest: Never drink your own mistakes!	The Second Rule of the Old West Medicine Chest: Never drink your own mistakes!
Next time, try drinking something healthier... like radiator sealant.	Next time, try drinking something healthier... like radiator sealant.
Next time, don't inhale!	Next time, don't inhale!
Rest in pieces.	Rest in pieces.
Guess you're a flatlander.	Guess you're a flatlander.
As the town hero, you've been given the sack.	As the town hero, you've been given the sack.
A crushing defeat!	A crushing defeat!
Rest in pieces, Freddy Pharkas.	Rest in pieces, Freddy Pharkas.
That's what you get for firing a weapon that hasn't been cleaned since Lincoln was assassinated!	That's what you get for firing a weapon that hasn't been cleaned since Lincoln was assassinated!
Shooting people point-blank is frowned upon in polite society.	Shooting people point-blank is frowned upon in polite society.
A bubblin' crude! Blood, that is. Red gold. Tourniquet Tea.	A bubblin' crude! Blood, that is. Red gold. Tourniquet Tea.
You come to a sworded end!	You come to a sworded end!
Maybe if you could've caught him red-handed...	Maybe if you could've caught him red-handed...
It's Slime Time!	It's Slime Time!
Take a burn!	Take a burn!
Coarsegold's shot to hell now!	Coarsegold's shot to hell now!
That death is too disgusting to describe!	That death is too disgusting to describe!
Dammit, Freddy, you're a pharmacist, not a veterinarian!	Dammit, Freddy, you're a pharmacist, not a veterinarian!
You've sold out. Some Western Hero YOU are!	You've sold out. Some Western Hero YOU are!
An' that's how Freddy met his ironic ol' death... fum ingestin' horsey products that wuz never meant to be ingested. A few days later, all o' Coarsegold got bought up by some mysterious East Coast consortium, and... well... The rest, as they's fond of sayin', is history.	An' that's how Freddy met his ironic ol' death... fum ingestin' horsey products that wuz never meant to be ingested. A few days later, all o' Coarsegold got bought up by some mysterious East Coast consortium, and... well... The rest, as they's fond of sayin', is history.
Too bad about thet, y'know. Guess Freddy's constitution couldn't handle th' noxious fumes that wuz expectoratin' through town. Seems to me a man with his edukashun shoulda known whut to do about a simple bit o'flatulence, but hey, I'm just a simple whittlin' sorta story-tellin' entertainin' kinda guy. And thet's m'story for now. Now git along into bed, it's past yer bedtime.	Too bad about thet, y'know. Guess Freddy's constitution couldn't handle th' noxious fumes that wuz expectoratin' through town. Seems to me a man with his edukashun shoulda known whut to do about a simple bit o'flatulence, but hey, I'm just a simple whittlin' sorta story-tellin' entertainin' kinda guy. And thet's m'story for now. Now git along into bed, it's past yer bedtime.
And thet's how Freddy done up and died... from eatin' mollusks without the proper accompanying condiments. And as fer Coarsegold, well, it wuzn't long before it was wiped from the face of the earth. (sob) (sob) (sniffle) (retch)	And thet's how Freddy done up and died... from eatin' mollusks without the proper accompanying condiments. And as fer Coarsegold, well, it wuzn't long before it was wiped from the face of the earth. (sob) (sob) (sniffle) (retch)
So, sorry to say, thet's how Freddy Pharkas done up and died. Takin' medication he didn't need were the death of him, and it warn't long afterwards that Coarsegold fell into the hands of... of... Gol durn it, I'm too choked up to tell yuz how it all ended. <sniff>	So, sorry to say, thet's how Freddy Pharkas done up and died. Takin' medication he didn't need were the death of him, and it warn't long afterwards that Coarsegold fell into the hands of... of... Gol durn it, I'm too choked up to tell yuz how it all ended. <sniff>
'Course, the rilly ironic thang is thet Freddy shoulda known better'n to drink that arful patent medicine. It wuz like to pourin' a bottle of grain alkyhol down yer gullet. Freddy died jes' a li'l while later, foamin' at the mouth and pointin' at sum purple wild dingos he thought he wuz seein'. Coarsegold came to a nasty end, whut with the... well, I don't like t' talk about it, it gimmee the ol' white trash blues.	'Course, the rilly ironic thang is thet Freddy shoulda known better'n to drink that arful patent medicine. It wuz like to pourin' a bottle of grain alkyhol down yer gullet. Freddy died jes' a li'l while later, foamin' at the mouth and pointin' at sum purple wild dingos he thought he wuz seein'. Coarsegold came to a nasty end, whut with the... well, I don't like t' talk about it, it gimmee the ol' white trash blues.
Poor ol' Freddy Pharkas done laughed hisself to death... but the folks of Coarsegold, they wuzn't laughin' two weeks later when the whole town got bought up from underneath 'em. Ol' Willy's done spinnin' yarns fer now. This one always makes me go all teary-eyed and phlegmy.	Poor ol' Freddy Pharkas done laughed hisself to death... but the folks of Coarsegold, they wuzn't laughin' two weeks later when the whole town got bought up from underneath 'em. Ol' Willy's done spinnin' yarns fer now. This one always makes me go all teary-eyed and phlegmy.
Well, you gots to admit the fella died tryin' to defend his town. Now, we all either hadda leave town or get shot up anyways, so it's not as if Freddy'd done any real good, but it were still excitin' to have him around fer awhile. I guess that story don't end so good. Lemme see, have I told you th' one about the travelin' band uniform salesman and the librarian? Welp, it seems there was trouble in River City, and they had this pool table, and...	Well, you gots to admit the fella died tryin' to defend his town. Now, we all either hadda leave town or get shot up anyways, so it's not as if Freddy'd done any real good, but it were still excitin' to have him around fer awhile. I guess that story don't end so good. Lemme see, have I told you th' one about the travelin' band uniform salesman and the librarian? Welp, it seems there was trouble in River City, and they had this pool table, and...
So thet's how Freddy's brilliant career done come to a screechin' halt. He sank into the swamp and wuz never seen again. A shame, too, 'cuz the rest of us were kinda plannin' on bein' in the sequel. That ain't one of my better stories, anyhoo. Say, did I ever tell ya the story about ol' King Graham? It seems there wuz this evil wizard, and he got Graham into just a peck o' trouble...	So thet's how Freddy's brilliant career done come to a screechin' halt. He sank into the swamp and wuz never seen again. A shame, too, 'cuz the rest of us were kinda plannin' on bein' in the sequel. That ain't one of my better stories, anyhoo. Say, did I ever tell ya the story about ol' King Graham? It seems there wuz this evil wizard, and he got Graham into just a peck o' trouble...
Kinda silly, but yep, that's how Freddy died... crushed by a load of bicarbonate while tryin' to put out the fire at the ol' Assay office. The whole town burned to the ground that night, and the British troops got turned back. British Troops? Waitaminnit, I'm getting confused. OH, okay, now I remembers. It wuzn't Freddy that got squashed by them sacks of powder, that wuz sumthin' else. Lemme go back and figger out what actually DID happen to Freddy Pharkas.	Kinda silly, but yep, that's how Freddy died... crushed by a load of bicarbonate while tryin' to put out the fire at the ol' Assay office. The whole town burned to the ground that night, and the British troops got turned back. British Troops? Waitaminnit, I'm getting confused. OH, okay, now I remembers. It wuzn't Freddy that got squashed by them sacks of powder, that wuz sumthin' else. Lemme go back and figger out what actually DID happen to Freddy Pharkas.
Yep, Freddy fell down, went "boom." It were a sad day, we found 'em all squished and not really livin' anymore. 'Course, we had our own problems to deal with, all of a sudden-like. Thet's about when the town of Coarsegold ceased to exist, as we'd done known it. But thet's another story, boys 'n girls. I gots to be alone wif my thoughts fer awhile.	Yep, Freddy fell down, went "boom." It were a sad day, we found 'em all squished and not really livin' anymore. 'Course, we had our own problems to deal with, all of a sudden-like. Thet's about when the town of Coarsegold ceased to exist, as we'd done known it. But thet's another story, boys 'n girls. I gots to be alone wif my thoughts fer awhile.
