(UNDER BREATH) |c1|You're asking for it, dude.|c|	（小聲） |c1|你這是自找罵挨，臭小子。|c|
What was that?	你說什麼？
I said, "As you asked, I was so rude."	我是說：「你問我，我才失禮的嘛。」
Oh! Yes, that is correct!	哦！對，沒錯！
I do not recall asking you to provide me with your phony nostrums and fraudulent potions. In fact, I believe that's what I'll call you: Freddy Pharkas, Fraudulent Phony! Heh heh!	我不記得有請你來兜售什麼騙人的偏方和造假的藥水。這樣好了，我看就叫你「佛萊迪·法卡斯，招搖撞騙的假貨大王」吧！嘿嘿！
I'm all done now.	我這邊搞定了。
Thank you for using the Bank of Bob.	謝謝惠顧鮑伯銀行。
You see the green flocked wallpaper, rough-hewn wood floor, and tinned tile ceiling of The Bank of Bob, Coarsegold's first (and probably last!) financial institution.	你看到鮑伯銀行裡的綠色絨面壁紙、粗糙的木地板，以及錫片天花板——這是粗金鎮第一間（大概也是最後一間！）金融機構。
Being a little touchy-feely today, aren't you, Pharkas?	今天手怎麼這麼閒不下來啊，法卡斯？
The vault door is two solid feet of case-hardened, high-carbon balsa wood, painted gray to look metallic and fool would-be bank robbers.	這道金庫門是兩呎厚的實心硬化高碳輕木（巴沙木），漆成灰色，看起來像金屬，好唬弄想來搶劫的傢伙。
Tut tut, Freddy m'boy, y'all can't get in thet door without the combination... I'll be happy to bring out your safe-deposit box, long as you've got the key.	嘖嘖，佛萊迪小子，沒有密碼你休想打開那扇門……只要你有鑰匙，我很樂意幫你把保管箱拿出來。
Yes, you could probably dig through the vault door in short order using the ice pick... and then plunder the entire town of its valuables! But you don't have any use for two pieces of rusty costume jewelry and a form letter signed by Millard Fillmore.	沒錯，你大概可以拿冰錐沒幾下就把金庫門挖穿……然後把全鎮的財寶洗劫一空！可惜裡頭只有兩件生鏽的仿冒首飾，還有一封米勒德·菲爾莫爾簽名的制式信，你要來也沒用。
Phineas H. Balance has cleverly situated a newfangled box camera up in the corner to photograph customers. Only trouble is, most customers don't stand in one place for 15 minutes.	菲尼斯·H·貝倫斯很聰明地在角落架了台新式箱型相機，用來拍顧客。唯一的問題是，大部分顧客可不會乖乖站在原地十五分鐘。
It's too high up to reach. That's okay, you'd take a lousy shot anyway.	太高了搆不到。反正你拍出來的照片也好不到哪去。
It's P.H. Balance's clock, eternally set to 3:57 so that he can hustle people out of the bank with a "We're closing in five minutes!"	這是P·H·貝倫斯的時鐘，永遠停在三點五十七分，好讓他能用一句「我們五分鐘後打烊！」把客人趕出銀行。
You can't reach it; it's on the wrong side of the gate.	你搆不到，它在柵欄的另一邊。
A couple of pretty cameo portraits of P.H. Balance's favorite "pin-up girl."	幾幅漂亮的浮雕肖像，畫的是P·H·貝倫斯最愛的「性感女郎」。
That Carrie Nation is such a looker!	這位凱莉·內申還真是個美人胚子！
You'd never get away with them.	你絕對拿不走這些東西的。
A masterful portrait of P.H. Balance's father, Bacillus Ophicleide Balance (or B.O.B. for short). It's got a little plaque. Apparently it doesn't have time to brush between meals.	一幅精湛的畫像，畫的是P·H·貝倫斯的父親——巴西勒斯·歐菲克萊德·貝倫斯（簡稱B.O.B.）。畫框上掛著一塊小牌匾，想必畫中人三餐之間都沒空刷牙，牙菌斑不少。
You're a mean-lookin' sonnuvabitch, y'know that?	你這混帳長得真兇，你知道嗎？
Mr. Pharkas, I'm afraid my father cannot hear you any longer... he's been dead for many years now. But I'm sure he would've appreciated your sentiment.	法卡斯先生，恐怕我父親再也聽不到你說話了……他已經過世多年。不過我想他一定會很欣賞你這番心意。
Upon closer examination, you realize that the entire painting is a trompe l'oeil. Even the frame is actually just painted on the wall. "Bob" must've wanted to make sure that he stayed hung.	你仔細一看才發現，整幅畫其實是幅視錯覺畫。就連畫框也只是畫在牆上的。看來「鮑伯」是鐵了心要讓自己「掛」得長長久久。
It's not accessible behind the teller's window.	那在櫃檯窗口後面，你碰不到。
It's a velvet mural that depicts the driving of the Golden Spike as performed by a toreador and a couple of children with really big, sad eyes.	這是一幅絲絨壁畫，畫的是一名鬥牛士和幾個眼睛又大又哀傷的小孩，一起釘下那根「黃金道釘」的場景。
You don't want it. You saw it at the Starving Artists of Fresno sale and you decided it wasn't worth the $0.14 they wanted for it.	你才不想要。你在「弗雷斯諾窮畫家特賣會」上看過這幅畫，當時就覺得連他們開的0.14美元都不值。
Some sort of large potted fern is standing in the corner.	角落擺著一大盆蕨類植物。
Hey, you're a healthy one, aintcha?	嘿，你長得挺健康的嘛，是吧？
The plant shifts its leaves slightly as if to say, "Yes, this is a calm, restful environment in which to grow and flourish. It would be perfect were it not for the negative vibrations I receive from that miserly banker. Say, do you have any plant food?"	這盆植物微微搖了搖葉子，彷彿在說：「沒錯，這裡環境安靜、適合成長茁壯。要不是老感受到那個小氣銀行家散發出來的負能量，簡直堪稱完美。對了，你有沒有植物肥料？」
Do you like it? That's my "plant on premises!"	你喜歡嗎？這可是俺安插在店裡的「眼線」——不，是盆栽啦！
One of the local plants has been pulled up and potted.	一株本地植物被連根拔起，種進了花盆裡。
Hey, you're a nice little plant, aren't you? Yes, you are!	嘿，你這小盆栽真乖，對吧？就是你！
The plant rustles its leaves slightly, as if to say, "Aw, g'wan witcha, yer just full of compliments today."	這盆植物微微沙沙作響，彷彿在說：「哎唷，少來了啦，你今天嘴巴真甜。」
Excuse me there, Mr. Pharkas. Please don't touch the Poison Ivy.	抱歉，法卡斯先生。麻煩別碰那盆毒藤。
This heavy table is where customers fill out bank slips and examine their safe-deposit boxes.	這張厚重的桌子是給顧客填寫銀行單據、檢查保管箱用的。
There's nothing on the desk you need to take.	桌上沒有你需要拿的東西。
This quill pen is used to fill out slips and sign registers.	這支羽毛筆是用來填單據、簽登記簿的。
You don't need to sign anything.	你不需要簽什麼東西。
There's a register here for new customers. If they sign in, they'll get all the usual brochures prompting them to take advantage of The Bank of Bob's home equity loans and other really smart investments.	這裡有本給新顧客用的登記簿。只要簽了名，就會收到一堆宣傳手冊，慫恿他們申辦鮑伯銀行的房屋淨值貸款和其他「高明」的投資項目。
Thumbing through the bank register, you discover that little Charlie Keating's kid has an account here!	你翻閱銀行登記簿，發現小查理·基廷家的小孩居然在這裡開了戶頭！
Hmm. I guess that's how little acorns grow into mighty oaks... one penny at a time.	嗯。我猜這就是小橡實長成參天大樹的道理……一分錢一分錢慢慢存。
This authentic mohair rug is much like the one P.H. Balance wears on his head. After all, he needs much mohair than he has!	這頂道地的馬海毛假髮，跟P·H·貝倫斯自己頭上戴的那頂挺像的。畢竟他頭上的毛，可比他擁有的還「多毛」得多！
Nope, no trap doors, keys, dirt or blank checks.	沒有，沒有暗門、鑰匙、泥土，也沒有空白支票。
This cute li'l fence separates the "Officials Only" area from the "Customers and Other Unwelcome Guests" area.	這道小巧可愛的柵欄，把「僅限行員」區和「顧客與其他不受歡迎人士」區隔了開來。
That area is off-limits to everyone except people who work at the bank, Mr. Pharkas!	那個區域除了銀行員工，誰都不准進去，法卡斯先生！
(UNDER BREATH) |c1|I guess that leaves YOU out, eh?|c|	（小聲） |c1|我猜這下把你也排除在外了，嗯？|c|
Pardon me? What did you say?	你說什麼？
I said, "I guess you've got a lot of clout."	我是說：「我猜你這人挺有身份的。」
Oh. That is correct, sir!	哦，沒錯，先生！
It's always nice to see a small town like Coarsegold get some big-city tackiness like this horrible chandelier.	像粗金鎮這種小鎮，能沾染上這種俗不可耐的大城市風格——就像這盞可怕的吊燈——總是叫人欣慰。
I understand that certain ruffians enjoy swinging from the chandeliers, Mr. Pharkas, but if it's not too much trouble, please try to restrain yourself.	我知道有些粗人喜歡攀著吊燈盪來盪去，法卡斯先生，但如果不麻煩的話，還請你克制一下。
(UNDER BREATH) |c1|Ah, you're just a warped, frustrated old man.|c|	（小聲） |c1|哼，你不過是個乖僻又憋屈的老頭。|c|
Pardon me? What was that you just said?	你剛剛說什麼？
I said, "You're a warm, first-rated old man."	我是說：「您是位親切又一流的老先生。」
It's Phineas's file cabinet.	這是菲尼斯的檔案櫃。
Mr. Pharkas, those are Bank files. They're not for your perusal.	法卡斯先生，那些是銀行的檔案，不是給你翻閱的。
(UNDER BREATH) |c1|Right, you depraved, rotten old ass.|c|	（小聲） |c1|沒錯，你這下流的老渾蛋。|c|
Excuse me? What was that you said?	你說什麼？
I said, "You're brave and you've got class."	我是說：「您真勇敢，又有格調。」
Oh. Yes, that is correct, sir!	哦，對，沒錯，先生！
These are the tellers' stations.	這些是行員的櫃檯。
There's nothing on the counter to take.	櫃檯上沒有你需要拿的東西。
Wanna sell me your property? You won't regret it!	想把你的地賣給我嗎？你絕對不會後悔！
Yep. I want the cashola!	沒錯，我要的就是鈔票！
And give up my dreams of herohood? Never, you CAD!	放棄我當英雄的夢想？休想，你這卑鄙小人！
Someone's head was accidentally rapped sharply against the plaster here, during an ugly incident in which a customer asked for free checking.	有人的頭曾經不小心狠狠撞上這裡的灰泥牆——那是一次醜陋事件的下場，起因是有位顧客要求辦免費支票帳戶。
Don't pick at it! You'll only make it worse.	別去摳它！只會弄得更糟。
You'd forgotten... you used your old lucky neckerchief to wrap those pistols in!	你都忘了……你用那條幸運領巾把手槍包起來了！
You take your lucky neckerchief out of the safe deposit box. Now you're REALLY beginning to feel lucky!	你從保管箱裡拿出幸運領巾。現在你才真的開始覺得幸運起來！
Wait a minute, the last time I wore this was when Kenny shot off my ear back in St. Louis.	等等，上次我戴這條領巾，就是肯尼在聖路易斯把我耳朵打掉的那次。
Well, okay. So maybe it's not THAT lucky a neckerchief!	好吧，看來這條領巾也沒那麼幸運！
These are your two gunslinger pistols, left over from your salad days. You know... those days when you were still green!	這是你當年快槍手時代留下的兩把手槍。你知道的……就是你還嫩得很的那段日子！
You lovingly lift your pistols from the box where they've spent the past decade.	你滿懷感情地把手槍從那個放了十年的盒子裡拿出來。
It's your safe deposit box. You haven't even LOOKED in this box for... what, ten years now? Ever since you moved to Coarsegold!	這是你的保管箱。你已經有……十年沒打開看過了吧？自從你搬來粗金鎮之後就沒開過！
You don't need to put anything in the safe-deposit box. Your future is too uncertain to store anything long-term!	你不需要往保管箱裡放東西。你的未來太不確定了，實在不適合做長期儲蓄！
It's the honorable Sheriff Checkum P. Shift, trying to invent "coffee and donuts."	這位是德高望重的警長切肯·P·席夫特，正在嘗試發明「咖啡配甜甜圈」。
Sheriff!	警長！
Pharkberg! Whudda YEW want?	法克伯格！你想幹嘛？
Why'd you close down the Dirty Sheets Hotel?	你為什麼把「髒床單旅館」給關了？
Whut's it to ya?	干你什麼事？
Well, I... I'm a little worried about the tourist trade, and...	呃，我……我是有點擔心觀光生意啦，而且……
It's not yer place to worry about the "tourist trade," bwoy! Leave that to ME! Now, as fer the Hotel, IF it's any o' yer business, it wuz attractin' the wrong sorta bizniz... transients, hobos, people of low moral fiber. Cain't be havin' none o' THET goin' on in Coarsegold, can we?	「觀光生意」用不著你操心，小子！那是俺的事！至於那間旅館嘛，如果真的跟你有關係的話，是招來了些不三不四的人——流浪漢、遊民、品性低劣的傢伙。粗金鎮可容不下那種東西，是吧？
But at the rate these places are closing down, there won't be any town LEFT in a matter of days!	可是照這樣關店的速度，再過沒幾天，這鎮上就什麼都不剩了！
Lissen to me, bwoy. Thet ain't none of my never mind. I'm jus' lookin' to make this place as SAFE as kin be. So if I gotta close down a place or two, welp, y'all will jus' hafta live with that.	聽好了，小子。那可不干俺的事。俺就是想把這地方弄得盡量安全。要是俺得關個一兩間店，呃，你就得自己想開點。
<|c3|Hoccccccccccck...|c|> <|c3|pa-tooey!|c|>	<|c3|哦嗯嗯嗯嗯……|c|> <|c3|噗！|c|>
The spittoon makes a resounding "ping!"	痰盂發出響亮的一聲「鏘！」
Sheriff, I don't understand how the Opera House was making Coarsegold unsafe. Why'd you close it down?	警長，我不懂歌劇院怎麼會讓粗金鎮變得不安全。你幹嘛把它關了？
They was showin' SMUT in there, and it wuz attractin' the wrong kinda customer!	他們在裡頭演那些下流玩意，招來一堆不三不四的客人！
Smut? Like what?	下流玩意？比如說？
Chaucer! Rebelais! Baaaaalzac!	喬叟！哈伯雷！巴——爾扎克！
And furthermore...	而且呢……
Whut the Sam Hill do yew want now? Don't you have customers to git to, Pharkenstein?	你這下又想幹嘛？你不是還有客人要招呼嗎，法克斯坦？
Yes, but I don't see why you had to close down the Tall & Thin Shop! What in the world was wrong with THAT?	對啦，可是我不懂你幹嘛把「高瘦人用品店」也關了！那間到底是哪裡有問題？
Lissen to me, bwoy. Tall & thin folks are SNEAKY.	聽好了，小子。又高又瘦的人啊，鬼鬼祟祟的。
Oh, that's ridiculous.	喔，這太荒謬了。
It's NOT ridiculous! They look down on everbuddy, and when they wanna sneak around, they turn sideways towards ya so's you cain't hardly see 'em! Luckily, their collarbones break more easily than most folks', so's you kin' whup on 'em realll good.	才不荒謬咧！他們個個看不起人，想偷偷摸摸的時候，還會側身對著你，讓你根本看不清楚他們！好在他們的鎖骨比一般人脆弱，你要收拾他們可容易得很。
That's the most insane load of horse manure I've ever heard.	這是我聽過最扯的胡說八道。
Nobody's askin' yew to believe it, bwoy. Iffn yew don't like how ah'm running this town, why, yew jus' go right on and leave. In fact, ah should be seein' yew about this VERY soon, bwoy. VERY soon.	沒人要你信，小子。你要是看不慣俺管這鎮子的方式，那就儘管走人。說真的，俺很快就會找你談這件事了，小子。非常快。
Sheriff, do YOU aim to do anything about the flatulent horses out there?	警長，你打算對外頭那些放屁馬做點什麼嗎？
Not much ah CAN do, Pharkwat. Yew cain't go 'round pluggin' up the horses, they'll explode. We'll jus' have to set tight 'til they get over it.	俺也沒什麼好做的，法克瓦特。你總不能到處去堵馬屁股，牠們會爆炸的。俺們就只能坐著等牠們自己好起來。
But the town will be gassed to death by then! We've got to take action NOW!	可是到時候全鎮的人都要被毒氣熏死了！我們得立刻採取行動！
I AM takin' action, bwoy! Ah'm catchin' up on m' office work! Cain't go outside anyways 'til this whole thang blows over! HYUK HYUK! I made a funny there! "Blows over." Git it? Git it?	俺就是在採取行動啊，小子！俺正在補辦公室的積案呢！反正這整件事「吹」過去之前俺也出不了門！哈哈哈！俺剛剛講了個笑話！「吹」過去。懂了吧？懂了吧？
That's whut I'm here fer, bwoy.	這就是俺存在的意義啊，小子。
Sheriff, if you're not going to help these people, then I am.	警長，你要是不肯幫這些人，那我來。
Yew do whut yew hafta, bwoy. Iffn yew think yew kin cure them horses 'afore evvabuddy gits gassed, yer welcome to try! <snicker>	你想幹嘛就去幹嘛吧，小子。你要是覺得能在大家被熏死之前治好那些馬，儘管去試試看！<竊笑>
Sheriff! Are you going to help me stop that stampede before it runs over the whole town?	警長！你要幫我阻止那群暴衝的牛群踩爛全鎮嗎？
Now look here, Pharkblatt! Stoppin' them horses from pootin' the town away wuz all well and good, but yew cain't stop a stampede, can ya? Why, there's nuttin' to be done but batten down the hatches and hope fer the best! Me, I figure I'm safe in here, this's the only buildin' in town made outta rock! You go save yer own butt, bwoy, or git outta town like the smart folks are doin'.	你聽好了，法克布拉特！阻止那些馬把全鎮放屁放垮是一回事，可暴衝的牛群你能擋得住嗎？這種事根本沒轍，只能關緊門窗，祈禱平安過關！俺自己嘛，躲在這裡最安全，這可是鎮上唯一一棟石頭蓋的房子！你自己顧好自己吧，小子，不然就跟聰明人一樣，趕緊離開這鎮子。
Dag nab you, Sheriff! You're not doing ANYTHING to help!	去你的，警長！你根本什麼忙都沒幫！
Why, shore ah am! Ah'm refusin' to PANIC!	怎麼沒有，俺可是拒絕恐慌呢！
Grrrr.	唔——
Sheriff, I'm not jokin'. Get a posse together! We can round 'em up, I KNOW we can!	警長，我不是在開玩笑。快召集人手！我們可以把牠們趕回去，我知道我們辦得到！
Y'all mus' think ah'm CRAZY, bwoy! Yew wouldn't catch me outside this office 'til thet stampede is over! Now git along!	你一定覺得俺瘋了吧，小子！在那群牛群平息之前，你休想看到俺踏出這辦公室半步！現在快滾吧！
Welp, Sheriff, I stopped that stampede, no thanks to you.	好啦，警長，我已經擋下那群牛了，一點都不多虧你。
Say WHUT? But... how?	你說什麼？可是……怎麼辦到的？
A little Yankee ingenuity. Something you wouldn't know anything about.	一點北方佬的小聰明。這你大概是一竅不通。
Hey hey! Yer beginnin' to really PIDDLE ME OFF, bwoy! Yer spozed to be shuttin' down yer Pharmacy and leavin' town, yer NOT spozed to be runnin' around like the flippin' Lone Ranger, savin' people right and left! Ah don't wanna hafta -- ah sez, ah don't wanna hafta talk to yew about this AGIN! Fer yer own safety, just vamoose!	嘿嘿！你這下真的開始惹毛俺了，小子！你應該要關了藥局、滾出這鎮子，不是像什麼獨行俠一樣到處跑，見人就救！俺不想再——俺說，俺不想再為這事跟你談第二次！為了你自己好，快滾吧！
I don't suppose you could help me rescue an Indian from an anthill?	我猜你大概沒辦法幫我把一個印地安人從螞蟻窩裡救出來吧？
No, ah don't suppose ah could! There's places in town whut need more fire inspections. Git along.	沒錯，俺是沒辦法！鎮上還有幾個地方要去做消防檢查呢。快滾吧。
Sheriff, I know you couldn't care less, but folks around town are having some sort of mysterious stomach ailment.	警長，我知道你根本不在乎，可是鎮上的人都得了某種神秘的腸胃病。
Welp, guess the water in these parts has gone sour. Ain't no surprise, really, it were bound to happen sooner or later. I figger those that don't die from the dysentery will jus' have to pull up stakes and find someplace where the water's good.	呃，俺猜這一帶的水大概是壞了。這也不奇怪，遲早都會發生的事。俺想沒被痢疾弄死的人，大概就得收拾家當，找個水質好一點的地方去了。
I don't think that's it at all. I think somebody poisoned the water. If you were any kind of Sheriff, you'd look into it.	我才不覺得是這樣。我認為有人在水裡下毒。你要是個稱職的警長，就該去查一查。
HYUK HYUK! Like yew know ANYTHANG about bein' a Sheriff! 'Sides, ah know the water ain't poisoned, ah had some m'self awhile ago.	哈哈哈！說得好像你懂什麼叫警長似的！再說了，俺知道水沒被下毒，俺自己前陣子才喝過呢。
I'm going to cure the poor folks of this town if it's the last thing I do!	就算是我做的最後一件事，我也要治好這鎮上那些可憐人！
Yep, an' it's gonna BE the last thing yew do iffn yew don't stop MESSIN' AROUND with the fine people of Coarsegold!	沒錯，你要是再不停止對粗金鎮這些善良百姓瞎搞，那還真的會是你做的最後一件事！
Messing around? I'm trying to SAVE them, dammit!	瞎搞？老子這是在救他們，該死的！
|c0|Yew cuss at me one mo' time and ah'll throw yew in jail so fast yew'll be BEGGIN' me to let yew quit, restore or restart!|c|	|c0|你再敢對俺罵一句髒話，俺立刻把你關進牢裡，快到你會求俺讓你「結束遊戲」、「讀取存檔」或「重新開始」！|c|
I apologize.	我道歉。
That's better. See? Now we kin all be friends.	這樣才對嘛。看吧？這樣大家都可以當朋友了。
Sheriff, I'm going to be saying my goodbyes soon, and I just wanted to thank you for all your help.	警長，我很快就要跟大家道別了，我只是想謝謝你一路以來的幫忙。
Don't mention it, bwoy! Iffn ah kin do anything to make yer departure more hasty or pleasant, feel free to ask!	別客氣，小子！要是俺能幫你走得更快或更痛快點，儘管開口！
Sheriff, I'll be leaving shortly. Thanks for the ammo and cleaning supplies.	警長，我馬上就要走了。謝謝你給的彈藥和清潔用品。
Yep, yep, sure, sure, glad to help, whutever yew say, bon voi-ah-gee.	對對對，沒問題沒問題，樂意效勞，你說了算，一路順風啦。
Yeah? Do I know you?	啊？我認識你嗎？
I'm Fr... I mean, I'm 'fraid you've got a problem.	我是佛……我是說，我恐怕你有麻煩了。
Oh, do I? What problem would that be? Seems to me mah BIGGEST problem already left town! Jus' got a lotta little ones left.	哦，是嗎？什麼麻煩？俺看哪，俺最大的麻煩已經離開鎮上了！剩下的都是些小麻煩。
You've got an infamous riverboat gambler in your Saloon, gambling up people's property.	你的酒館裡有個惡名昭彰的河船賭徒，把大夥的財產都給賭光了。
Nothin' illegal 'bout that. Nobuddy's forcin' anyone to gamble.	這又不犯法。又沒人逼誰去賭。
But he's CHEATING!	可是他出老千！
Welp, I spoze if yew wuz to CATCH him cheatin', ah might have to run him in. But he's very good, ah don't think yew'll catch him. He came highly recommended.	呃，俺想要是你能當場逮到他出老千，俺大概就得把他抓起來。不過他手法很高明，俺看你抓不到他的。他可是有人大力推薦來的。
Nothin', nothin'.	沒事，沒事。
I'm going to have to bring that gambler to justice!	我非得把那個賭徒繩之以法不可！
Hey, mister, ah don't want any trouble 'round here. Don't yew go shootin' nobody, I'll hafta run you in. Yew let thangs take their nacheral course.	嘿，老兄，俺可不想這裡出亂子。你可別對誰開槍，不然俺就得抓你了。事情就順其自然吧。
Hey, Sheriff Shift!	嘿，席夫特警長！
Well, if it ain't the fella whut caught "Aces" Hall! Whussup?	這不是抓到「王牌」霍爾的那位嘛！有事嗎？
Don't you know? Your entire town is being shot up by a bunch of rowdy cowhands!	你不知道嗎？整個鎮都被一群鬧事的牛仔開槍打得亂七八糟！
Yep! Aren't it awful? Evvabuddy in town who don't git shot up is gonna git skeered away! HAW HAW! I hate it!	沒錯！是不是很糟糕？鎮上沒被打中的人，大概都會被嚇跑！哈哈哈！俺可真是討厭死了！
I don't understand. Why do you want everyone to leave Coarsegold so badly?	我不懂。你為什麼這麼想讓所有人都離開粗金鎮？
