He did it! What a MANLY man! Riverboat gambler in the corner pocket!	He did it! What a MANLY man! Riverboat gambler in the corner pocket!
Yee-hawwww!	Yee-hawwww!
I could have done that if I'd wanted to. I just didn't feel like it, that's all.	I could have done that if I'd wanted to. I just didn't feel like it, that's all.
Now, when the townsfolk caught wind o' how Aces'd been cheatin', the Sheriff had no choice but to arrest him and return all the deeds. But wouldn' ya know, no sooner had one brouhaha died down than anuther flared up...	Now, when the townsfolk caught wind o' how Aces'd been cheatin', the Sheriff had no choice but to arrest him and return all the deeds. But wouldn' ya know, no sooner had one brouhaha died down than anuther flared up...
A brass rail runs along the length of the bar. This is a decorative, if uncomfortable, place for the drunks to rest their heads. It must be made of very hard metal as it has withstood the test of heels for many years.	A brass rail runs along the length of the bar. This is a decorative, if uncomfortable, place for the drunks to rest their heads. It must be made of very hard metal as it has withstood the test of heels for many years.
Aces' is holding his cards tightly. One of his hands appears unusually stiff. Maybe he's nervous?	Aces' is holding his cards tightly. One of his hands appears unusually stiff. Maybe he's nervous?
Don't touch my cards, Silver Boy. You wouldn't want to be accused of CHEATING, would you?	Don't touch my cards, Silver Boy. You wouldn't want to be accused of CHEATING, would you?
Despite his slimy demeanor and underhanded undertaking, you can't bring yourself to shoot him point-blank. You'll have to find a better way.	Despite his slimy demeanor and underhanded undertaking, you can't bring yourself to shoot him point-blank. You'll have to find a better way.
It appears to be a third hand! So THAT'S how Aces is cheating!	It appears to be a third hand! So THAT'S how Aces is cheating!
Wheaton "Aces" Hall, slick big-time, back-East, riverboat gambler, has turned the saloon's friendly poker game into vicious high-stakes gambling, winning money, land, buildings, and businesses from the local bumpkins.	Wheaton "Aces" Hall, slick big-time, back-East, riverboat gambler, has turned the saloon's friendly poker game into vicious high-stakes gambling, winning money, land, buildings, and businesses from the local bumpkins.
Scoot along, Silver Boy, before I deal you the Dead Man's Hand.	Scoot along, Silver Boy, before I deal you the Dead Man's Hand.
Quit prodding me, stranger. I'll finish with you later.	Quit prodding me, stranger. I'll finish with you later.
Take it away. Can't you see I'm busy?	Take it away. Can't you see I'm busy?
I can see you're up to no good! And I can see you're holding three of a kind, Kings, and the rest of your hand is garbage.	I can see you're up to no good! And I can see you're holding three of a kind, Kings, and the rest of your hand is garbage.
Shut up! Don't listen to him, boys, he's just trying to rattle ya.	Shut up! Don't listen to him, boys, he's just trying to rattle ya.
Aces is clearly winning by a mile. He's piled up a lot of chips, in addition to a pocketful of property deeds!	Aces is clearly winning by a mile. He's piled up a lot of chips, in addition to a pocketful of property deeds!
Hands off that! It's mine, I won it, fair and square!	Hands off that! It's mine, I won it, fair and square!
Are you sure about that?	Are you sure about that?
Am I sure? Am I SURE? I'm the most honest gambler in this town!	Am I sure? Am I SURE? I'm the most honest gambler in this town!
(SARCASTICALLY) Oh, like THAT'S saying much!	(SARCASTICALLY) Oh, like THAT'S saying much!
Ollie's money is dwindling rapidly.	Ollie's money is dwindling rapidly.
Don't take Ollie's money, he needs all he can get right now.	Don't take Ollie's money, he needs all he can get right now.
Coarsegold has really gone to pot now!	Coarsegold has really gone to pot now!
Hey, hey, hey. Nobody at this table's gonna take kindly to you walking off with the chips.	Hey, hey, hey. Nobody at this table's gonna take kindly to you walking off with the chips.
That's old Ollie Oxenfree, up close and personal! He's the guy who owns the fig farms on the northern side of Collier Bluff. He's the worst gambler in town! He'll lose the entire North 40 in no time!	That's old Ollie Oxenfree, up close and personal! He's the guy who owns the fig farms on the northern side of Collier Bluff. He's the worst gambler in town! He'll lose the entire North 40 in no time!
Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes more.	Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes more.
Gambling away his Keg 'n Barrel shop is Cooper "Coop" Cooper. He, his wife, his children and his parents all work in his barrel shop. He's a cooper, she's a cooper, they're all coopers. (Wouldn't you like to be a cooper too?)	Gambling away his Keg 'n Barrel shop is Cooper "Coop" Cooper. He, his wife, his children and his parents all work in his barrel shop. He's a cooper, she's a cooper, they're all coopers. (Wouldn't you like to be a cooper too?)
Cooper, please! You can't lose everything, you just can't!	Cooper, please! You can't lose everything, you just can't!
He doesn't speak, but his attitude is clearly, "Oh, yeah? Just watch me!"	He doesn't speak, but his attitude is clearly, "Oh, yeah? Just watch me!"
Don't bother him now; he's trying to recoop!	Don't bother him now; he's trying to recoop!
That's Muff Potter. Nice to see him and Joe getting along again! He owns -- or at least, he DID own until he started playing -- a huge tract of land along the south side of town, where Chinatown used to be.	That's Muff Potter. Nice to see him and Joe getting along again! He owns -- or at least, he DID own until he started playing -- a huge tract of land along the south side of town, where Chinatown used to be.
Muff nods his head in agreement, and keeps playing. Muff's never been too bright.	Muff nods his head in agreement, and keeps playing. Muff's never been too bright.
Don't poke him right now, he's concentrating on losing everything. And doing a damn good job of it, too!	Don't poke him right now, he's concentrating on losing everything. And doing a damn good job of it, too!
That's Joe, the guy that had a bad time with ol' Muff Potter a few years back. He owns a local tourist trap that really is a "trap." He trapped a couple of punks in there a few years back, Tom and Becky somebody or other. They almost didn't get out. Somebody ought to write a book about it!	That's Joe, the guy that had a bad time with ol' Muff Potter a few years back. He owns a local tourist trap that really is a "trap." He trapped a couple of punks in there a few years back, Tom and Becky somebody or other. They almost didn't get out. Somebody ought to write a book about it!
Joe grunts. And that's the most you've ever heard him say!	Joe grunts. And that's the most you've ever heard him say!
You've got to think of a way to frame Aces!	You've got to think of a way to frame Aces!
Leave the frame right where it is. It's doing such a good job of adding to the composition of the image.	Leave the frame right where it is. It's doing such a good job of adding to the composition of the image.
Aces is even uglier close-up than he is from afar! Maybe it would help if you squinted.	Aces is even uglier close-up than he is from afar! Maybe it would help if you squinted.
Shhhh, it's rude to talk to that while the game's in progress.	Shhhh, it's rude to talk to that while the game's in progress.
Get that finger away from me. You're making me nervous. And I don't LIKE people that make me nervous.	Get that finger away from me. You're making me nervous. And I don't LIKE people that make me nervous.
This is the poker table. Most of the value of Coarsegold seems to be going from this side to Aces' side.	This is the poker table. Most of the value of Coarsegold seems to be going from this side to Aces' side.
Hey, keep your hands off the table. And don't make me tell you again.	Hey, keep your hands off the table. And don't make me tell you again.
