Pressure's On!	壓力來了！
I can take her! Hell, she's just a girl!	我打得贏她！說真的，她不過是個女孩子而已！
Hmmm. I dunno. That was a pretty impressive half-gainer.	嗯…我不確定。剛剛那招後空翻轉身挺俐落的。
Oh, my God. I'm going to die. Give me a break!	喔，我的天啊，我要死了，饒了我吧！
You can brush up on your geography |c0|later|c|! Have you tried playing "Gold Rush?"	地理你可以|c0|以後|c|再惡補！要不要試試玩「Gold Rush」？
Wait 'til the teacher calls on you. And somehow, you don't think she's going to!	等老師點到你的時候再說吧。不過看樣子，你八成不覺得她會點你！
It's a fascinating book about Puff and Spot... a dragon and a soda-pop character.	這是一本挺有意思的書，講的是帕夫和史波特……一隻龍和一個汽水廣告吉祥物。
You've got no time for Sex Ed right now!	你現在沒空上性教育課！
It looks like somebody's taken a bite out of that McGruff's Reader.	看起來有人在那本麥格夫讀本上咬了一口。
You rifle through the child's coat pockets, looking for loot, but you find nothing. You crumb.	你翻遍了那孩子外套的口袋，想撈點油水，結果什麼也沒找到。你這個小人渣。
You see row upon row of quaint school desks, complete with one-piece bench, desktop and inkwell. Eww, one of 'em still has some poor girl's pigtail stuck in it!	你看到一排排古色古香的課桌椅，連著長板凳、桌面跟墨水池一應俱全。噁，其中一張還卡著某個可憐女孩的辮子！
The latest and greatest American flag stands at limp attention. A feeling not wholly unfamiliar to you!	最新款的美國國旗有氣無力地立正著，那種感覺你並不陌生！
You resolve to return at a calmer moment and retrieve some of these pictures to decorate your Pharmacy. The fire burning downstairs notwithstanding.	你打算等情況平靜些再回來，拿幾張這裡的畫去裝飾你的藥局——儘管樓下正燒得火光沖天。
This hanging lamp illuminates the peaceful, yearning, upturned faces of the ignorant and uneducated... who come in on Parents' Day to see how their children are doing!	這盞吊燈照亮了那些無知又沒受過教育的人——臉上寫滿平靜與期盼，抬頭望著……他們是在家長日跑來看看自己孩子表現如何的家長們！
Your life is in jeopardy. Don't make things worse by making the room stuffier. And no, you can't escape by leaping from the window! Penelope would run you through the moment you turned your back!	你現在命懸一線。別讓房間更悶熱，情況已經夠糟了。而且不行，你不能跳窗逃跑！你才一轉身，潘妮洛普就會一劍刺穿你！
Now's not the time for idle chit-chat with the scenery! It's time for ACTION!	現在不是跟布景閒聊的時候！是時候採取行動了！
That won't help you |c0|now|c|, Freddy!	那|c0|現在|c|幫不了你了，佛萊迪！
There's a small map of the United States. Have you noticed how California, on the map to the right, appears to be larger than all of the United States put together? That's California ego for you!	牆上掛著一張小小的美國地圖。你有沒有注意到，右邊的加州看起來比整個美國加起來還大？這就是加州人的自我膨脹！
There on the wall are a couple of small daguerreotypes. Looks like the kids too some crayons to 'em.	牆上掛著幾張小小的銀版照片。看樣子孩子們拿蠟筆在上頭塗鴉過。
Looks like somebody started a very nice portrait of George Washington... The Father of Plywood Dentures.	看起來有人畫了一半喬治·華盛頓的肖像……膠合板假牙之父。
Neither the chunks of wood nor the scuttle itself will help you out of this mess!	不管是那些木塊還是煤桶本身，都幫不了你脫離這場困境！
He who fights and runs away... gets skewered!	打完就跑的人……最後都會被刺穿！
While you're stupidly standing there taking in the scenery, Penelope decides you're not really interested in fighting back.	你傻愣愣地站在那裡欣賞風景，潘妮洛普認定你根本無意反擊。
Ah, yeah?	啊，是嗎？
Here.	拿去。
You think you can see smoke curling up around the door jamb.	你覺得你好像看到煙從門框邊緣裊裊竄出。
There's a raging inferno down there, Freddy! Going that way is certain death!	下面是一片熊熊烈火，佛萊迪！往那邊走就是死路一條！
Al Lowe	Al Lowe
Josh Mandel	Josh Mandel
Bob Gleason	Bob Gleason
Steve Conrad	Steve Conrad
Aubrey Hodges	Aubrey Hodges
Karin A. Young	Karin A. Young
Ruben Huante	Ruben Huante
William R. Shockley	William R. Shockley
Cynthia L. Swafford	Cynthia L. Swafford
Phy "No Relation" Williams	Phy "No Relation" Williams
Mike W. Pickhinke	Mike W. Pickhinke
Mike Weiner	Mike Weiner
Larry Buchanan	Larry Buchanan
Jeff Crowe	Jeff Crowe
Joan Delehanty	Joan Delehanty
Maria Fruehe	Maria Fruehe
Gloria Garland	Gloria Garland
Michael Hutchison	Michael Hutchison
Tony Margioni	Tony Margioni
Jerry Moore	Jerry Moore
Cindy Walker	Cindy Walker
Chris "Smokehouse" Willis	Chris "Smokehouse" Willis
Deanna Yhalkee	Deanna Yhalkee
Carlos Escobar	Carlos Escobar
Brian K. Hughes	Brian K. Hughes
Doug Oldfield	Doug Oldfield
Doug Wheeler	Doug Wheeler
Mike Brosius	Mike Brosius
Dave Clingman	Dave Clingman
Keri Cooper	Keri Cooper
Lynne Dayton	Lynne Dayton
Tina Deardorff	Tina Deardorff
Mike Jones	Mike Jones
John Meek	John Meek
Diana Mulligan	Diana Mulligan
Sharon Simmons	Sharon Simmons
Rick Spurgeon	Rick Spurgeon
Joe Carper	Joe Carper
Judy Crites	Judy Crites
Bill Davis Jr.	Bill Davis Jr.
John Ratcliffe	John Ratcliffe
Sharon Smith	Sharon Smith
Dan Woolard	Dan Woolard
Vana Baker	Vana Baker
Ed Critchlow	Ed Critchlow
Dan Foy	Dan Foy
J. Mark Hood	J. Mark Hood
Ken Koch	Ken Koch
Jack Magne	Jack Magne
Terry McHenry	Terry McHenry
Martin Peters	Martin Peters
Larry Scott	Larry Scott
Christopher Smith	Christopher Smith
Mark Wilden	Mark Wilden
