Medication	Medication
Charcoal	Charcoal
Deflatulizer	Deflatulizer
Snails	Snails
Money	Money
Beer	Beer
Ladder	Ladder
Rope	Rope
Lasso	Lasso
Knife	Knife
Letter	Letter
Shovel	Shovel
Pistols	Pistols
Pie	Pie
Coffee	Coffee
Bullets	Bullets
Clay	Clay
Medallion	Medallion
Clothes	Clothes
Boots	Boots
Neckerchief	Neckerchief
Sword	Sword
Elixir	Elixir
pills	pills
powders	powders
powder	powder
ml	ml
gm	gm
%s (3 %s)	%s (3 %s)
%s (%d %s)	%s (%d %s)
%s (%s)	%s (%s)
%s %s	%s %s
%s %d %s	%s %d %s
Narrator	Narrator
Cowboy	Cowboy
Wanderer	Wanderer
Urchin	Urchin
Ragamuffin	Ragamuffin
Lucky	Lucky
Clem	Clem
Amos	Amos
