It's too late to wear that thing. Penelope's already seen through your disguise!	現在穿那玩意兒已經太遲了。潘妮洛普早就看穿你的偽裝了！
You wouldn't |c2|dream|c| of wearing your cowboy clothes around town until you have both your whole ensemble and a damn good reason!	你才不會|c2|夢想|c|穿著牛仔裝在鎮上晃，除非你湊齊整套行頭又有個像樣的理由！
You already have the Claim Check.	你已經有提貨單了。
Of course you'll want to wear the boots later, but wait until you have a complete outfit.	你當然會想晚點穿上這雙靴子，但要等湊齊整套服裝再說。
You'll want to wear your neckerchief later, after you have completed your outfit.	你會想晚點戴上這條領巾，等你把整套服裝穿齊了再說。
It's too sharp to wear! Turn your head to the right and you'd cut your own jugular!	這東西太利了不能戴！頭一往右轉，你就會割破自己的頸動脈！
It's bad enough that Penelope's trying to kill you. Now you want to run yourself through?	潘妮洛普想要你的命就已經夠慘了，你現在還想自己捅自己一刀？
That's not necessary. You already dig yourself.	用不著。你自己心裡有數。
You are a sick, sick little pharmacist!	你這個藥師真是病得不輕啊！
You will NOT need to hyperventilate in this game!	這款遊戲裡你可用不著過度換氣！
How disgusting!!	噁心死了！！
You'd look a mite silly, walking around with that big lump of clay stuck to the side of your head.	頭上黏著一大坨黏土到處走，你看起來會蠢得可以。
Mmm... wax and clay! You're not THAT hungry!	嗯……蠟和黏土！你還沒餓成那樣吧！
You sniff around in the empty mold, but true to its word, it's empty.	你在空模子裡聞來聞去，果然名副其實，裡面什麼都沒有。
You don't need any extra ear wax!	你才不需要多餘的耳垢！
You take a sip of the medication. Unfortunately, the first rule of the Old West Medicine Chest is: never trust nobody else's prescription!	你喝了一口藥。可惜啊，西部藥箱的第一條規矩就是：別人開的處方箋，千萬別亂信！
(c) Copyright 1994 Sierra On-Line, Inc. (c) Copyright 1993 Screw Loose Amusements. Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. At least your aim is improving.	(c) Copyright 1994 Sierra On-Line， Inc. (c) Copyright 1993 Screw Loose Amusements. 感謝您遊玩《多情藥師酷牛仔》。至少你的槍法有在進步。
(c) Copyright 1994 Sierra On-Line, Inc. (c) Copyright 1993 Screw Loose Amusements Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. You shot your eye out with that thing, kid!	(c) Copyright 1994 Sierra On-Line， Inc. (c) Copyright 1993 Screw Loose Amusements 感謝您遊玩《多情藥師酷牛仔》。小子，你用那玩意兒把自己眼睛打瞎了！
(c) Copyright 1994 Sierra On-Line, Inc. (c) Copyright 1993 Screw Loose Amusements Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. Oops! You tried something really incredibly stupid.	(c) Copyright 1994 Sierra On-Line， Inc. (c) Copyright 1993 Screw Loose Amusements 感謝您遊玩《多情藥師酷牛仔》。哎呀！你剛做了件超級蠢的事。
(c) Copyright 1994 Sierra On-Line, Inc. (c) Copyright 1993 Screw Loose Amusements Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. You shot your damn foot off!	(c) Copyright 1994 Sierra On-Line， Inc. (c) Copyright 1993 Screw Loose Amusements 感謝您遊玩《多情藥師酷牛仔》。你把自己的腳給轟飛了！
(c) Copyright 1994 Sierra On-Line, Inc. (c) Copyright 1993 Screw Loose Amusements Thank you for playing FREDDY PHARKAS, FRONTIER PHARMACIST. Remember... SAVE EARLY, SAVE OFTEN! You shot yourself, fool!	(c) Copyright 1994 Sierra On-Line， Inc. (c) Copyright 1993 Screw Loose Amusements 感謝您遊玩《多情藥師酷牛仔》。記住……早存檔，常存檔！你這笨蛋把自己打傷了！
Raise this poor fool to increase the amount of incidental animation. Lower him if Freddy seems to slog around like a wagon knee-deep in manure.	把這可憐傢伙調高，可以增加一些小動作動畫。要是佛萊迪走起路來像陷在及膝糞堆裡的馬車一樣拖泥帶水，就把他調低。
This poor fella here turns up the noise on sound boards and syn-thee-sizers.	這位可憐的傢伙負責調大音效卡跟那個什麼「合─成─器」的音量。
This varmint here adjusts Freddy's walkin' speed, within the limits of your computer's advanced caperbilities.	這隻小畜生負責調整佛萊迪走路的速度，範圍就看你電腦那些高深「性能」耐操到哪。
Lower this poor fellow here to make text remain on the screen longer. Raise him if you are a fast reader and got a lot of book learnin'.	把這可憐的傢伙調低，文字就會在螢幕上停久一點。要是你讀書快又滿腹經綸，就把他調高。
Use this here to save the current state of your game. When you later select Restore, everything'll be right normal, just like it was before, when ya hadn't messed with it.	用這個來存下目前的遊戲進度。之後選「讀取」的時候，一切都會恢復正常，就跟你還沒亂搞之前一樣。
This restores a game y'all saved earlier on.	這個會讀取你之前存的遊戲進度。
Use this here to restart the game all over again, from the very beginning.	用這個從頭把整個遊戲重新來過。
Use this here to slowly back outta the game, real careful-like.	用這個小心翼翼地慢慢退出遊戲。
Here's where y'all learn more than you wanna about the fellas that put this here game together.	這裡會讓你知道一堆你根本不想知道、關於做這款遊戲那群傢伙的事。
To learn more about the other items in this here window, first click here, then pass yer question mark over those other items there.	想多了解這個視窗裡的其他項目，先點這裡，然後把問號游標移到其他項目上頭。
Use this here to close this panel here and resume game play.	用這個關掉這個面板，繼續遊戲。
Use this here button to choose "text" (havin' the words displayed onscreen) or "audio" (havin' the words spoken out loud by real actorlike humans).	用這個按鈕選擇「文字」（把台詞顯示在螢幕上）或「語音」（由像模像樣的真人演員唸出台詞）。
Yes, sir! By gum, by cracky! With his one good ear all mangled and grody, Freddy managed to leap from the schoolhouse just seconds before it went up in the biggest conflagration Coarsegold'd ever seen!	沒錯，老兄！我的老天鵝啊！佛萊迪那隻好端端的耳朵都被震得稀巴爛，他還是在校舍付之一炬——粗金鎮史上最大一場火——的前幾秒硬是跳了出來！
The credits aren't in need of anything you've got.	工作人員名單才不需要你手上那些東西。
This is a credit. This wasn't actually found in Coarsegold in the 1880's, but if they WERE, they'd have looked a lot like this one!	這是一則工作人員名單。1880 年代的粗金鎮其實沒有這種東西，不過如果真的有，八成就長這樣！
Talking to credits? You are in need of counseling.	跟工作人員名單講話？你需要去看心理醫生了。
You can't take credit for something you haven't done!	沒做過的事，你可不能邀功！
That person doesn't want what you're offering. What an ungrateful wretch!	那個人才不想要你給的東西。真是個忘恩負義的傢伙！
It looks like the name of a hardworking employee with a large ego.	這看起來像是某個自我感覺良好的認真員工的名字。
Shhhh, that person's already working on another game.	噓，那個人已經在忙別款遊戲了。
What's the matter, you don't like your OWN name, so you want to take somebody else's?	怎麼了，不喜歡自己的名字，想搶別人的來用？
It's Ezekial Jacob Methuselah Andrew Washington Madison Johnson Hallelujah, the preacher's kid.	這位是以西結·雅各·瑪土撒拉·安德魯·華盛頓·麥迪遜·強森·哈利路亞，牧師的兒子。
I ain't got time. I put peanut butter in the offering plate and now my pa is after me! He said I was wasting good peanut butter!	我沒空啦。我把花生醬放進奉獻盤裡，現在我老爸在後面追我！他說我在浪費好好的花生醬！
Jeez, buddy. Get yer hands off me!	天啊，老兄。手拿開！
My parents say I'm not supposed to accept inventory items from strangers.	我爸媽說我不可以跟陌生人拿東西。
A good thought, but let his father take care of him.	想法是不錯，不過還是讓他老爸來管教他吧。
Carrie Sue ought to be in school, but she's wandering the streets instead.	凱莉蘇這時候應該在學校才對，她卻在街上到處閒晃。
My mama sez I'm not spozed to talk with strangers. And you're stranger than most!	我媽說我不可以跟陌生人講話。而你呢，比誰都更「陌生」——怪咖一個！
MAMA! THAT MAN TRIED TO TOUCH ME!!	媽！這個男的想要摸我！！
No thank you, sir! I'm in a hurry!	不用了，謝謝，先生！我在趕時間！
That's a severe punishment for playing hookey, don't you think?	翹課落到這種下場也太慘了吧，你不覺得嗎？
Rover earned his name the hard way. He lives from paw to mouth all around the town.	阿旺這名字可不是白得的，牠在鎮上到處靠一爪一口討生活。
Arf.	汪。
Grrrrrr...	嗚……
Best leave him alone, Freddy. Sounds like he got up on the wrong side of the doggy bed.	佛萊迪，還是別惹牠比較好。聽起來牠今天狗窩起床氣很重。
That dog has pride. He doesn't need your CHARITY!	這隻狗有牠的骨氣。牠才不需要你的施捨！
What are you trying to do, put him out of his misery? How would you like it if that dog decided to put YOU out of YOUR misery?	你想幹嘛，讓牠早點解脫？要是這隻狗也想讓「你」早點解脫，你會作何感想？
Once Lucky was as coordinated as any other mongrel, but that was before he had that run in with the owl at the west end of town. Now he hates the owl as much as the rest of us!	幸運以前跟其他雜種狗一樣手腳俐落，直到牠在鎮西跟那隻貓頭鷹槓上了。現在牠跟我們大家一樣痛恨那隻貓頭鷹！
How are you?	你好嗎？
Wh-wh-what did you say???	你、你剛剛說什麼？？？
Bow arrrooo?	汪嗚嗚嗚？
