That would probably do something, but nothing you need to do now.	那樣大概會有點反應，不過現在還用不著。
Authentic Western Voices by Cam Clarke as Freddy Pharkas Neil Ross as The Narrator Kath Soucie as Penelope Primm Lewis Arquette as Whittlin' Willy Michael Gough as Kenny the Kid	道地西部原聲演出　Cam Clarke 飾 佛萊迪·法卡斯　Neil Ross 飾 旁白　Kath Soucie 飾 潘妮洛普　Lewis Arquette 飾 削木威利　Michael Gough 飾 小鬼肯尼
Click here to change your cursor into the Look cursor, then click the Look cursor on the Inventory objects to examine them more closely.	點這裡把游標換成「看」游標，再用它點物品欄裡的東西，就能仔細端詳。
Careful, you'll get your finger stuck in one of the bottles.	小心點，手指卡進瓶子裡就好玩了。
You coyly avoid a trip to the outhouse... but you refuse to carry that bottle around any more!	你羞答答地省下一趟茅房之旅……但你說什麼也不肯再帶著那個瓶子到處跑了！
Translation: No thanks, but if you run across any wooden doggie legs, I'll take two... one for a spare.	翻譯一下：不必了，謝謝。不過你要是撿到木頭狗腿，幫我留兩隻……一隻備用。
You like the poncho, eh? The poncho, she's pretty, eh? I getta you a poncho some day!	你喜歡這件斗篷齁？這斗篷，水啦，對吧？改天我也弄一件給你！
Sierra Technical Support	Sierra 技術支援
out of 999 points! Not bad fer a tenderfoot!	滿分 999 分！以一個菜鳥來說算不賴啦！
You just can't face exploring that cliff face!	那面峭壁，你實在沒臉去爬。
The horse is humming "Don't Fence Me In" and doesn't care to be petted.	這匹馬正哼著〈別把我關起來〉，沒興趣讓你摸。
Hey, knock off the sound effects already!	喂，音效可以停了吧！
Apparently Mom's jumping on the comedy club bandwagon. The sign reads, "Coming soon -- Open Megaphone Night. Take your best shot! You'll die laughing!"	看來老媽也想搭喜劇酒吧的順風車。招牌寫著：「即將開張——開放麥克風之夜。使出你的看家本領！保證笑到你斷氣！」
The store's sealed up tight. Locked. Shuttered. Off-limits. Verbotten. Out of Service. Padlocked. Folded. Bolted. Latched. Finished. Kaput. Ceased to be. It has expired. This is an ex-General Store.	這家店封得死死的。上鎖。拉下鐵門。禁止進入。閒人勿進。暫停營業。掛上大鎖。倒了。閂上。扣住。結束。完蛋。不復存在。它已經過期了。這是一家「前」雜貨店。
How goes it, Pete?	最近好嗎，老皮？
Yep!	沒錯！
Only because I love to hear you laugh.	純粹是因為我愛聽你笑。
(JUBILANTLY) A "kiddie-pult!"	（興高采烈）一台「投童機」！
If you're looking for a sign, maybe you should play one of those Bible Trivia games.	你要是在等什麼「啟示」，或許該去玩那種聖經問答遊戲。
This is your personal mail. I am not reading it now or ever!	這是你的私人信件。我現在不看，以後也不看！
You can't find a good spot to dig here.	這裡找不到適合開挖的地方。
Oops, sorry, I forgot you were in here. You going to be long?	唉唷，歹勢，我忘了你在裡面。還要很久嗎？
A short strong metal pole projects from the roof of the water tank.	一根粗短的金屬柱從水塔頂上突出來。
Figuring that you were the topic of the Sheriff's plotting, you have an irresistible urge to knock his block off. But the TRULY amazing thing is how you manage to RESIST that urge!	想到警長密謀的對象八成就是你，你忍不住想一拳把他腦袋打飛。但真正神奇的是——你居然忍住了！
You won't need any plush red velvet chairs in your quest for truth, justice, liberty, and a good time.	追求真理、正義、自由與快活人生的路上，你用不著什麼紅絲絨軟椅。
It ain't goin' nowhere.	它跑不掉的啦。
You won't need that one.	那個你用不著。
I'm afraid this isn't good news, Frederick. This prescription you filled for me?	恐怕不是什麼好消息，佛萊迪。你幫我配的這帖藥……
Now now, Freddy Pharkas! Normally I'd love to oblige, but I'm off-duty right now. Feel free to drop by tonight, though!	別這樣嘛，佛萊迪·法卡斯！平常我很樂意奉陪，可惜我現在下班了。晚上再來坐坐嘛！
Ah, apple pie. I look at it and can think only of the screams of thousands of apples dying for your pie. I do not understand how a thinking person can eat of it. But I love us for our differences.	啊，蘋果派。我一看到它，滿腦子就是成千上萬顆蘋果為了這塊派慘叫而死。我實在不懂，一個有思想的人怎麼吃得下去。不過我很珍惜我們之間的不同。
Some buxom lady's portrait. Notice how the painting seems to follow you around the room? And I don't mean her eyes!	一幅豐滿女士的肖像。有沒有發現這幅畫好像會跟著你在房裡轉？我說的可不是她的眼睛！
Graduated Cylinder	量筒
Gaseous Spectroscope	氣體分光儀
Sal, all hell has broken loose.	阿薩，外頭全亂套了。
You aim the pistol at Salvatore.	你把手槍對準薩瓦多。
You poke through the bottles to see what's what. Hmmm... preshave, aftershave, duringshave, notgonnashave, nevershave, wannashave and tooyoungtoshave. Remember what Al Lowe says: "shave early, shave often!"	你翻了翻那些瓶子看有些什麼。嗯……刮鬍前、刮鬍後、刮鬍中、不打算刮、永不刮、想刮，還有年紀太小不用刮。記住 Al Lowe 的名言：「早點刮，常常刮！」
Welp, bring it back when it's full, and we'll get stinkin'!	好啦，裝滿了再拿回來，咱們一起喝到掛！
These industrial-strength heavy-duty cast-lead pans are coated with a mercury-chlorine compound in order to make them stick-resistant.	這些工業級重型鑄鉛鍋，表面鍍了一層汞氯化合物，號稱不沾鍋。
You've got your nerve! At least MY customers aren't sick when they walk in the DOOR!	你好意思講！至少我的客人走進門的時候還沒生病！
I'm not talking to you right now. I'm ashamed to be your Mom. Now you just turn right around and go outside and THINK about what you've done for awhile. You can come back in here when you decide to behave like a human being again.	我現在不想跟你說話。當你的媽我覺得丟臉。你給我轉身出去，好好想想自己做了什麼。等你決定重新做人了，再進來。
Steal it? Don't be silly. It's mine!	偷？別傻了。那本來就是我的！
Mom's kitchen is spotlessly clean and efficiently-run.	老媽的廚房一塵不染，運作得有條不紊。
Certainly, yes, I understand.	當然，是的，我明白。
Worsh yet!	洗好沒！
You bet your ash I'm right. Now take it away from me, whatever it is.	我說得沒錯，灰都不用燒。快把那玩意兒從我面前拿走，管它是什麼。
We're open 24 hours a day, Fred. I never go outside. Besides, the sun dries out my beautiful skin.	我們二十四小時營業，佛萊迪。我從不出門。再說，太陽會把我這身美肌曬乾的。
Hey, Sam! Gimme a case of the beer you just got in from St. Louis!	喂，山姆！給我一箱你剛從聖路易進的啤酒！
Sorry. Never mind, then.	抱歉，那就算了。
You'd shoot poor ol' Muff? Shame, shame!	你要對可憐的老馬夫開槍？羞羞臉，羞羞臉！
Don't waste your breath. Ollie needs what little concentration he has just to hang onto his farm a few minutes more.	省點力氣吧。歐利那點僅存的專注力，全用來多守住他的農場幾分鐘了。
What was that? What did you say?	什麼？你剛說什麼？
You can't reach it; it's on the wrong side of the gate.	你搆不到，它在門的另一邊。
But the town will be gassed to death by then! We've got to take action NOW!	可是到那時候全鎮早就被毒氣毒死了！我們現在就得行動！
Why, of course! That's what you want, isn't it? You don't want the poor folks of Coarsegold to choke to death, do you?	那當然囉！這不就是你要的嗎？你總不希望粗金鎮的鄉親們活活嗆死吧？
My, my! Whut a purty hanky you got there!	哎唷喂！你那條手帕真水啊！
Ah'm not done drinkin' it yit, Pharquar!	俺還沒喝完哪，法夸爾！
Yes, it is |c2|I|c|.	是的，就是 |c2|I|c|。
Sorry, you took too long to decide.	抱歉，你考慮太久了。
Vana Baker	Vana Baker
What? Why?	什麼？為什麼？
