(UNDER BREATH) |c1|You're asking for it, dude.|c|	(UNDER BREATH) |c1|You're asking for it, dude.|c|
What was that?	What was that?
I said, "As you asked, I was so rude."	I said, "As you asked, I was so rude."
Oh! Yes, that is correct!	Oh! Yes, that is correct!
I do not recall asking you to provide me with your phony nostrums and fraudulent potions. In fact, I believe that's what I'll call you: Freddy Pharkas, Fraudulent Phony! Heh heh!	I do not recall asking you to provide me with your phony nostrums and fraudulent potions. In fact, I believe that's what I'll call you: Freddy Pharkas, Fraudulent Phony! Heh heh!
I'm all done now.	I'm all done now.
Thank you for using the Bank of Bob.	Thank you for using the Bank of Bob.
You see the green flocked wallpaper, rough-hewn wood floor, and tinned tile ceiling of The Bank of Bob, Coarsegold's first (and probably last!) financial institution.	You see the green flocked wallpaper, rough-hewn wood floor, and tinned tile ceiling of The Bank of Bob, Coarsegold's first (and probably last!) financial institution.
Being a little touchy-feely today, aren't you, Pharkas?	Being a little touchy-feely today, aren't you, Pharkas?
The vault door is two solid feet of case-hardened, high-carbon balsa wood, painted gray to look metallic and fool would-be bank robbers.	The vault door is two solid feet of case-hardened, high-carbon balsa wood, painted gray to look metallic and fool would-be bank robbers.
Tut tut, Freddy m'boy, y'all can't get in thet door without the combination... I'll be happy to bring out your safe-deposit box, long as you've got the key.	Tut tut, Freddy m'boy, y'all can't get in thet door without the combination... I'll be happy to bring out your safe-deposit box, long as you've got the key.
Yes, you could probably dig through the vault door in short order using the ice pick... and then plunder the entire town of its valuables! But you don't have any use for two pieces of rusty costume jewelry and a form letter signed by Millard Fillmore.	Yes, you could probably dig through the vault door in short order using the ice pick... and then plunder the entire town of its valuables! But you don't have any use for two pieces of rusty costume jewelry and a form letter signed by Millard Fillmore.
Phineas H. Balance has cleverly situated a newfangled box camera up in the corner to photograph customers. Only trouble is, most customers don't stand in one place for 15 minutes.	Phineas H. Balance has cleverly situated a newfangled box camera up in the corner to photograph customers. Only trouble is, most customers don't stand in one place for 15 minutes.
It's too high up to reach. That's okay, you'd take a lousy shot anyway.	It's too high up to reach. That's okay, you'd take a lousy shot anyway.
It's P.H. Balance's clock, eternally set to 3:57 so that he can hustle people out of the bank with a "We're closing in five minutes!"	It's P.H. Balance's clock, eternally set to 3:57 so that he can hustle people out of the bank with a "We're closing in five minutes!"
You can't reach it; it's on the wrong side of the gate.	You can't reach it; it's on the wrong side of the gate.
A couple of pretty cameo portraits of P.H. Balance's favorite "pin-up girl."	A couple of pretty cameo portraits of P.H. Balance's favorite "pin-up girl."
That Carrie Nation is such a looker!	That Carrie Nation is such a looker!
You'd never get away with them.	You'd never get away with them.
A masterful portrait of P.H. Balance's father, Bacillus Ophicleide Balance (or B.O.B. for short). It's got a little plaque. Apparently it doesn't have time to brush between meals.	A masterful portrait of P.H. Balance's father, Bacillus Ophicleide Balance (or B.O.B. for short). It's got a little plaque. Apparently it doesn't have time to brush between meals.
You're a mean-lookin' sonnuvabitch, y'know that?	You're a mean-lookin' sonnuvabitch, y'know that?
Mr. Pharkas, I'm afraid my father cannot hear you any longer... he's been dead for many years now. But I'm sure he would've appreciated your sentiment.	Mr. Pharkas, I'm afraid my father cannot hear you any longer... he's been dead for many years now. But I'm sure he would've appreciated your sentiment.
Upon closer examination, you realize that the entire painting is a trompe l'oeil. Even the frame is actually just painted on the wall. "Bob" must've wanted to make sure that he stayed hung.	Upon closer examination, you realize that the entire painting is a trompe l'oeil. Even the frame is actually just painted on the wall. "Bob" must've wanted to make sure that he stayed hung.
It's not accessible behind the teller's window.	It's not accessible behind the teller's window.
It's a velvet mural that depicts the driving of the Golden Spike as performed by a toreador and a couple of children with really big, sad eyes.	It's a velvet mural that depicts the driving of the Golden Spike as performed by a toreador and a couple of children with really big, sad eyes.
You don't want it. You saw it at the Starving Artists of Fresno sale and you decided it wasn't worth the $0.14 they wanted for it.	You don't want it. You saw it at the Starving Artists of Fresno sale and you decided it wasn't worth the $0.14 they wanted for it.
Some sort of large potted fern is standing in the corner.	Some sort of large potted fern is standing in the corner.
Hey, you're a healthy one, aintcha?	Hey, you're a healthy one, aintcha?
The plant shifts its leaves slightly as if to say, "Yes, this is a calm, restful environment in which to grow and flourish. It would be perfect were it not for the negative vibrations I receive from that miserly banker. Say, do you have any plant food?"	The plant shifts its leaves slightly as if to say, "Yes, this is a calm, restful environment in which to grow and flourish. It would be perfect were it not for the negative vibrations I receive from that miserly banker. Say, do you have any plant food?"
Do you like it? That's my "plant on premises!"	Do you like it? That's my "plant on premises!"
One of the local plants has been pulled up and potted.	One of the local plants has been pulled up and potted.
Hey, you're a nice little plant, aren't you? Yes, you are!	Hey, you're a nice little plant, aren't you? Yes, you are!
The plant rustles its leaves slightly, as if to say, "Aw, g'wan witcha, yer just full of compliments today."	The plant rustles its leaves slightly, as if to say, "Aw, g'wan witcha, yer just full of compliments today."
Excuse me there, Mr. Pharkas. Please don't touch the Poison Ivy.	Excuse me there, Mr. Pharkas. Please don't touch the Poison Ivy.
This heavy table is where customers fill out bank slips and examine their safe-deposit boxes.	This heavy table is where customers fill out bank slips and examine their safe-deposit boxes.
There's nothing on the desk you need to take.	There's nothing on the desk you need to take.
This quill pen is used to fill out slips and sign registers.	This quill pen is used to fill out slips and sign registers.
You don't need to sign anything.	You don't need to sign anything.
There's a register here for new customers. If they sign in, they'll get all the usual brochures prompting them to take advantage of The Bank of Bob's home equity loans and other really smart investments.	There's a register here for new customers. If they sign in, they'll get all the usual brochures prompting them to take advantage of The Bank of Bob's home equity loans and other really smart investments.
Thumbing through the bank register, you discover that little Charlie Keating's kid has an account here!	Thumbing through the bank register, you discover that little Charlie Keating's kid has an account here!
Hmm. I guess that's how little acorns grow into mighty oaks... one penny at a time.	Hmm. I guess that's how little acorns grow into mighty oaks... one penny at a time.
This authentic mohair rug is much like the one P.H. Balance wears on his head. After all, he needs much mohair than he has!	This authentic mohair rug is much like the one P.H. Balance wears on his head. After all, he needs much mohair than he has!
Nope, no trap doors, keys, dirt or blank checks.	Nope, no trap doors, keys, dirt or blank checks.
This cute li'l fence separates the "Officials Only" area from the "Customers and Other Unwelcome Guests" area.	This cute li'l fence separates the "Officials Only" area from the "Customers and Other Unwelcome Guests" area.
That area is off-limits to everyone except people who work at the bank, Mr. Pharkas!	That area is off-limits to everyone except people who work at the bank, Mr. Pharkas!
(UNDER BREATH) |c1|I guess that leaves YOU out, eh?|c|	(UNDER BREATH) |c1|I guess that leaves YOU out, eh?|c|
Pardon me? What did you say?	Pardon me? What did you say?
I said, "I guess you've got a lot of clout."	I said, "I guess you've got a lot of clout."
Oh. That is correct, sir!	Oh. That is correct, sir!
It's always nice to see a small town like Coarsegold get some big-city tackiness like this horrible chandelier.	It's always nice to see a small town like Coarsegold get some big-city tackiness like this horrible chandelier.
I understand that certain ruffians enjoy swinging from the chandeliers, Mr. Pharkas, but if it's not too much trouble, please try to restrain yourself.	I understand that certain ruffians enjoy swinging from the chandeliers, Mr. Pharkas, but if it's not too much trouble, please try to restrain yourself.
(UNDER BREATH) |c1|Ah, you're just a warped, frustrated old man.|c|	(UNDER BREATH) |c1|Ah, you're just a warped, frustrated old man.|c|
Pardon me? What was that you just said?	Pardon me? What was that you just said?
I said, "You're a warm, first-rated old man."	I said, "You're a warm, first-rated old man."
It's Phineas's file cabinet.	It's Phineas's file cabinet.
Mr. Pharkas, those are Bank files. They're not for your perusal.	Mr. Pharkas, those are Bank files. They're not for your perusal.
(UNDER BREATH) |c1|Right, you depraved, rotten old ass.|c|	(UNDER BREATH) |c1|Right, you depraved, rotten old ass.|c|
Excuse me? What was that you said?	Excuse me? What was that you said?
I said, "You're brave and you've got class."	I said, "You're brave and you've got class."
Oh. Yes, that is correct, sir!	Oh. Yes, that is correct, sir!
These are the tellers' stations.	These are the tellers' stations.
There's nothing on the counter to take.	There's nothing on the counter to take.
Wanna sell me your property? You won't regret it!	Wanna sell me your property? You won't regret it!
Yep. I want the cashola!	Yep. I want the cashola!
And give up my dreams of herohood? Never, you CAD!	And give up my dreams of herohood? Never, you CAD!
Someone's head was accidentally rapped sharply against the plaster here, during an ugly incident in which a customer asked for free checking.	Someone's head was accidentally rapped sharply against the plaster here, during an ugly incident in which a customer asked for free checking.
Don't pick at it! You'll only make it worse.	Don't pick at it! You'll only make it worse.
You'd forgotten... you used your old lucky neckerchief to wrap those pistols in!	You'd forgotten... you used your old lucky neckerchief to wrap those pistols in!
You take your lucky neckerchief out of the safe deposit box. Now you're REALLY beginning to feel lucky!	You take your lucky neckerchief out of the safe deposit box. Now you're REALLY beginning to feel lucky!
Wait a minute, the last time I wore this was when Kenny shot off my ear back in St. Louis.	Wait a minute, the last time I wore this was when Kenny shot off my ear back in St. Louis.
Well, okay. So maybe it's not THAT lucky a neckerchief!	Well, okay. So maybe it's not THAT lucky a neckerchief!
These are your two gunslinger pistols, left over from your salad days. You know... those days when you were still green!	These are your two gunslinger pistols, left over from your salad days. You know... those days when you were still green!
You lovingly lift your pistols from the box where they've spent the past decade.	You lovingly lift your pistols from the box where they've spent the past decade.
It's your safe deposit box. You haven't even LOOKED in this box for... what, ten years now? Ever since you moved to Coarsegold!	It's your safe deposit box. You haven't even LOOKED in this box for... what, ten years now? Ever since you moved to Coarsegold!
You don't need to put anything in the safe-deposit box. Your future is too uncertain to store anything long-term!	You don't need to put anything in the safe-deposit box. Your future is too uncertain to store anything long-term!
It's the honorable Sheriff Checkum P. Shift, trying to invent "coffee and donuts."	It's the honorable Sheriff Checkum P. Shift, trying to invent "coffee and donuts."
Sheriff!	Sheriff!
Pharkberg! Whudda YEW want?	Pharkberg! Whudda YEW want?
Why'd you close down the Dirty Sheets Hotel?	Why'd you close down the Dirty Sheets Hotel?
Whut's it to ya?	Whut's it to ya?
Well, I... I'm a little worried about the tourist trade, and...	Well, I... I'm a little worried about the tourist trade, and...
