It's not a whip.	It's not a whip.
YER tellin' ME, bwoy!	YER tellin' ME, bwoy!
Whut in thunderation is thet thang?	Whut in thunderation is thet thang?
It's a gas mask. It'll help you breathe safely until I get the horses cured.	It's a gas mask. It'll help you breathe safely until I get the horses cured.
Yer gonna cure them horses?	Yer gonna cure them horses?
Why, of course! That's what you want, isn't it? You don't want the poor folks of Coarsegold to choke to death, do you?	Why, of course! That's what you want, isn't it? You don't want the poor folks of Coarsegold to choke to death, do you?
(SPUTTERS) Well, I...	(SPUTTERS) Well, I...
Well, Sheriff? I'm waiting for an answer. Is that what you want?	Well, Sheriff? I'm waiting for an answer. Is that what you want?
(SPUTTERING) Why, I... I mean... you... I mean, NO! Of COURSE thet's not whut I want! An' anything you kin do to alleviate our current sichyation will be appershiated. MOST appershiated, Pharkle. Now take your little mask and git outta here. I got work ta do!	(SPUTTERING) Why, I... I mean... you... I mean, NO! Of COURSE thet's not whut I want! An' anything you kin do to alleviate our current sichyation will be appershiated. MOST appershiated, Pharkle. Now take your little mask and git outta here. I got work ta do!
Whaddaya call thet, Pharkwas?	Whaddaya call thet, Pharkwas?
It's "deflatulizer." It'll cure the horses of their terminal flatulence.	It's "deflatulizer." It'll cure the horses of their terminal flatulence.
Oh. Well, thet's reallll good, bwoy, reallll good. You done the town a service. An' I ain't gorna forgit it. Nosiree bob. Ain't gorna forgit it.	Oh. Well, thet's reallll good, bwoy, reallll good. You done the town a service. An' I ain't gorna forgit it. Nosiree bob. Ain't gorna forgit it.
You like snails, Sheriff?	You like snails, Sheriff?
I hates 'em! They're mean, slimy li'l critters.	I hates 'em! They're mean, slimy li'l critters.
Takes one to know one, eh, Sheriff?	Takes one to know one, eh, Sheriff?
Whut? Quit talkin' crazy talk, bwoy. Yew bin out in the sun too long.	Whut? Quit talkin' crazy talk, bwoy. Yew bin out in the sun too long.
Yer not tryin' to BRIBE me to let chew open yer store back up, are ya?	Yer not tryin' to BRIBE me to let chew open yer store back up, are ya?
What if I were?	What if I were?
If yew wuz, I'd have to ARREST ya fer tryin' to bribe a SHERIFF! Then ah'd hafta toss ya in the HOOSEGOW! Then ah'd hafta HANG YA. So ah'll ask ya again, wuz yew tryin' to BRIBE me?	If yew wuz, I'd have to ARREST ya fer tryin' to bribe a SHERIFF! Then ah'd hafta toss ya in the HOOSEGOW! Then ah'd hafta HANG YA. So ah'll ask ya again, wuz yew tryin' to BRIBE me?
No. I was asking you to look at this money and give me your assessment of whether or not it's counterfeit.	No. I was asking you to look at this money and give me your assessment of whether or not it's counterfeit.
It ain't. And thank kyew so much fer askin'! Right proper of you.	It ain't. And thank kyew so much fer askin'! Right proper of you.
Ah never drinks when ah'm on-duty, bwoy. Whut kinda lawman yew think I AM, anyway?	Ah never drinks when ah'm on-duty, bwoy. Whut kinda lawman yew think I AM, anyway?
Yew think, jes 'cuz ah'm MEAN, I'm STOOPIT? Ah got loaded weapons here, bwoy! Ah gotta be alert! Cain't be out-drawin' no varmints wif a skull full o' MUSH, bwoy! Now git yer patootie OUTTA here 'fore ah has to remove it fer ya!	Yew think, jes 'cuz ah'm MEAN, I'm STOOPIT? Ah got loaded weapons here, bwoy! Ah gotta be alert! Cain't be out-drawin' no varmints wif a skull full o' MUSH, bwoy! Now git yer patootie OUTTA here 'fore ah has to remove it fer ya!
Yer not plannin' any vandalism with those thangs, are yew, bwoy?	Yer not plannin' any vandalism with those thangs, are yew, bwoy?
Of course not, Sheriff! Do I look like the kind of person who'd break bottles frivolously, for target practice or something?	Of course not, Sheriff! Do I look like the kind of person who'd break bottles frivolously, for target practice or something?
I spoze not, yer too much of a goody-two-shoes fer thet, aintcha? Welp, jus' keep those away from the kids. Dang vandals, every one of 'em.	I spoze not, yer too much of a goody-two-shoes fer thet, aintcha? Welp, jus' keep those away from the kids. Dang vandals, every one of 'em.
Sheriff Shift eyes you suspiciously.	Sheriff Shift eyes you suspiciously.
'Zat YER key, bwoy? Yer not STEALIN' no keys now, are ya?	'Zat YER key, bwoy? Yer not STEALIN' no keys now, are ya?
Sheriff! Do I look like the kind of person who'd steal ANYthing?	Sheriff! Do I look like the kind of person who'd steal ANYthing?
Welp... I spoze ya don't. In fact, ya look too chicken to steal a kiss from a miss.	Welp... I spoze ya don't. In fact, ya look too chicken to steal a kiss from a miss.
Thet looks suspiciously lahk the ladder Miz Primm wuz sayin' wuz taken from the schoolhouse playground! Lemme see the serial number on thet ladder.	Thet looks suspiciously lahk the ladder Miz Primm wuz sayin' wuz taken from the schoolhouse playground! Lemme see the serial number on thet ladder.
There isn't any serial number. I, uh, made it m'self.	There isn't any serial number. I, uh, made it m'self.
Oh. Well, thet's OK, then. Carry on, bwoy.	Oh. Well, thet's OK, then. Carry on, bwoy.
Yew tryin' to tie me up, bwoy?	Yew tryin' to tie me up, bwoy?
No, I'm trying the old rope-a-dope trick.	No, I'm trying the old rope-a-dope trick.
That's boxin', bwoy, not ropin'! HAR! Yew pretty dumb, yew know thet?	That's boxin', bwoy, not ropin'! HAR! Yew pretty dumb, yew know thet?
Jumpin' Jehosophat, bwoy, yew tryin' to hogtie me?	Jumpin' Jehosophat, bwoy, yew tryin' to hogtie me?
What if I am?	What if I am?
Walp, ah'd say you were pretty pitiful with a lasso!	Walp, ah'd say you were pretty pitiful with a lasso!
Whut you got there?	Whut you got there?
It's a water purification solution. It'll help alleviate the town's gastric troubles.	It's a water purification solution. It'll help alleviate the town's gastric troubles.
Lemme git this straight. That there stuff's gonna alleviate the town's gastric troubles?	Lemme git this straight. That there stuff's gonna alleviate the town's gastric troubles?
Uh, I believe that's what I just said. That IS what you want, isn't it? You don't WANT the whole town to die of dehydration from excessive diarrhea, do you?	Uh, I believe that's what I just said. That IS what you want, isn't it? You don't WANT the whole town to die of dehydration from excessive diarrhea, do you?
<Sputter>	<Sputter>
I mean, nobody would've PURPOSEFULLY poisoned the town's drinking water, right? So I wouldn't be BOTHERING anybody by purifying the water, would I?	I mean, nobody would've PURPOSEFULLY poisoned the town's drinking water, right? So I wouldn't be BOTHERING anybody by purifying the water, would I?
You... I mean, the whole... That is... Well, NO, for corn sake, that's just PERFECT, Pharquar, just flippin' PERFECT. Go ahead an' CURE the whole dang town. That's right neighborly of you. RIGHT neighborly.	You... I mean, the whole... That is... Well, NO, for corn sake, that's just PERFECT, Pharquar, just flippin' PERFECT. Go ahead an' CURE the whole dang town. That's right neighborly of you. RIGHT neighborly.
Yew tryin' to gas me with thet thang?	Yew tryin' to gas me with thet thang?
Yes, only I can't get it open. Would you open it for me?	Yes, only I can't get it open. Would you open it for me?
Whut, so's you kin turn around and gas me with it? Hyuk, hyuk, yew must be dumber than yew look!	Whut, so's you kin turn around and gas me with it? Hyuk, hyuk, yew must be dumber than yew look!
Ha, ha! But not dumber than YOU look, right, Sheriff?	Ha, ha! But not dumber than YOU look, right, Sheriff?
Haw haw! Yer darn tootin', bwoy, darn tootin'!	Haw haw! Yer darn tootin', bwoy, darn tootin'!
Whoa there, son! You must have some whopper of a bellyache there!	Whoa there, son! You must have some whopper of a bellyache there!
Actually, I was kinda hoping I could bury you underneath all this baking soda.	Actually, I was kinda hoping I could bury you underneath all this baking soda.
Hyuk hyuk hyuk! You ain't gotta snowman's chance in hell of doin' THET, bwoy! Ah may be short, but I'se wirey!	Hyuk hyuk hyuk! You ain't gotta snowman's chance in hell of doin' THET, bwoy! Ah may be short, but I'se wirey!
Say, these are sum purty li'l fillies!	Say, these are sum purty li'l fillies!
Yes, would you be willing to trade something for 'em?	Yes, would you be willing to trade something for 'em?
Nope! Got m'self a photographic memory. Got 'em all memorized. Thanks much, bwoy!	Nope! Got m'self a photographic memory. Got 'em all memorized. Thanks much, bwoy!
Yew fixin' to do sum candle-makin'?	Yew fixin' to do sum candle-makin'?
Walp, nice to know you gotcherself a hobby. Everbuddy needs a hobby. Y'know whut my hobby is?	Walp, nice to know you gotcherself a hobby. Everbuddy needs a hobby. Y'know whut my hobby is?
It's makin' life miserbul for pipsqueaks. Yew know whut a pipsqueak is, dontcher?	It's makin' life miserbul for pipsqueaks. Yew know whut a pipsqueak is, dontcher?
Gooood. Word to the wise, Furpiece. Catch ya later, bwoy.	Gooood. Word to the wise, Furpiece. Catch ya later, bwoy.
HEY NOW! Yew jabbin' thet thang at me!	HEY NOW! Yew jabbin' thet thang at me!
No, no, I wasn't.	No, no, I wasn't.
THERE! Yew done it AGAIN!	THERE! Yew done it AGAIN!
No, no, no. I'm just practicing my knifework.	No, no, no. I'm just practicing my knifework.
Welp, take it OUTSIDE, bwoy! Take it OUTSIDE! Jehosophat, bwoy, iffn I didn't know yew wuz a chicken, ah'd thank yew wuz tryin' to ventilate muh spleen!	Welp, take it OUTSIDE, bwoy! Take it OUTSIDE! Jehosophat, bwoy, iffn I didn't know yew wuz a chicken, ah'd thank yew wuz tryin' to ventilate muh spleen!
Now jus' hold on a cotton-pickin' minute. Yew mean to tell me that yew, some kinda Western Hero, is jus' gonna walk in and shoot the Sheriff in cold blood? No fair fight, no shootout in the middle of the street, no nothin'? Does that sound like a act of a Hero? Or does it sound like the act of a coward?	Now jus' hold on a cotton-pickin' minute. Yew mean to tell me that yew, some kinda Western Hero, is jus' gonna walk in and shoot the Sheriff in cold blood? No fair fight, no shootout in the middle of the street, no nothin'? Does that sound like a act of a Hero? Or does it sound like the act of a coward?
Uh, coward, I guess.	Uh, coward, I guess.
Yew bet your boots. Let's just pretend that whole thang didn't happen, shall we? Let's see if yew kin get through this whole thang without shootin' anyone outright. 'Kay? 'Kay.	Yew bet your boots. Let's just pretend that whole thang didn't happen, shall we? Let's see if yew kin get through this whole thang without shootin' anyone outright. 'Kay? 'Kay.
Here you go, Sheriff. Another nice, hot cup of coffee.	Here you go, Sheriff. Another nice, hot cup of coffee.
Yew blind, bwoy? Cain't you see ah've already got a cuppa coffee here ah ain't drunken yet? Git that thing away fum me!	Yew blind, bwoy? Cain't you see ah've already got a cuppa coffee here ah ain't drunken yet? Git that thing away fum me!
I tole yuh, it's YERS, bwoy! Now take it and shimmy yer butt outta town afore we gotta shimmy it FER ya!	I tole yuh, it's YERS, bwoy! Now take it and shimmy yer butt outta town afore we gotta shimmy it FER ya!
I tole' ya, bwoy, those 'r on the house! Now take 'em and head on outta town, buckaroo, 'afore you git hurt.	I tole' ya, bwoy, those 'r on the house! Now take 'em and head on outta town, buckaroo, 'afore you git hurt.
You toss the clay at the Sheriff.	You toss the clay at the Sheriff.
What in tarnation? Hey, Pharmhouse! Dontcha be throwin' yer mudpies at ME, bwoy! Hell's bells, son, g'wan back ter elementary skool iffn yer gonna start playin' wif clay! Geeeeez. I dunno why we's even worrying about this fool, he's jus' a case of arrested develupmint.	What in tarnation? Hey, Pharmhouse! Dontcha be throwin' yer mudpies at ME, bwoy! Hell's bells, son, g'wan back ter elementary skool iffn yer gonna start playin' wif clay! Geeeeez. I dunno why we's even worrying about this fool, he's jus' a case of arrested develupmint.
Wail, ah'll be a monkey's uncle. Gotcherself a holda some real silver there, ain'tcha?	Wail, ah'll be a monkey's uncle. Gotcherself a holda some real silver there, ain'tcha?
I believe it is, yes.	I believe it is, yes.
Well, if thet ain't sumpin' special. Y'all mus' be as pleased as punch. Why don't you CELERBATE, bwoy, by gittin' OUTTA TOWN BY SUNDOWN? I think thet's a RIGHT good idea! A change of scenery do you a WORLD o' good, bwoy. Might even save yer life! HAW HAW HAW! Hyukhyukhyukhyuk!	Well, if thet ain't sumpin' special. Y'all mus' be as pleased as punch. Why don't you CELERBATE, bwoy, by gittin' OUTTA TOWN BY SUNDOWN? I think thet's a RIGHT good idea! A change of scenery do you a WORLD o' good, bwoy. Might even save yer life! HAW HAW HAW! Hyukhyukhyukhyuk!
You outdone yerself fer stoopidness this time, bwoy. Thet's the dumbest-lookin' silver ear I ever seen. It's all crooked and ugly.	You outdone yerself fer stoopidness this time, bwoy. Thet's the dumbest-lookin' silver ear I ever seen. It's all crooked and ugly.
I guess you would know, wouldn't you, Sheriff?	I guess you would know, wouldn't you, Sheriff?
