That would probably do something, but nothing you need to do now.	那樣做應該會有點效果，但現在還用不著。
That's just another bit of authentic Western scenery.	那不過是道地西部風景的一部分罷了。
You can't think of anything to say to that.	你想不出該說什麼才好。
You can't walk there; at least, not thisaway.	你走不過去；至少，不是走這條路。
There's no need to touch that.	沒必要去碰那個。
That just doesn't work like that.	那樣是行不通的。
Click here to change to the Move cursor, then click the Move cursor on the main screen. Freddy will walk to that spot (or as close to it as he can).	點這裡切換成「移動」游標，再到主畫面點一下，佛萊迪就會走到那個地方（或盡量走近）。
If you have a two-button mouse, click the right mouse button to cycle through all the available cursors without returning to this Icon Bar.	如果你用的是雙鍵滑鼠，按右鍵就能依序切換所有游標，不必回到這條圖示列。
If you have a three-button mouse, click the middle mouse button to switch between the Move cursor and the previous cursor.	如果你用的是三鍵滑鼠，按中鍵就能在「移動」游標和前一個游標之間切換。
Click here to change to the Look cursor, then click the Look cursor on the main screen to look at things.	點這裡切換成「察看」游標，再到主畫面點一下就能查看物品。
Click here to change to the Hand cursor, then click the Hand cursor on the main screen to do things.	點這裡切換成「手」游標，再到主畫面點一下就能操作物品。
Click here to change to the Talk cursor, then click the Talk cursor on characters in the game to speak with them.	點這裡切換成「對話」游標，再點遊戲中的角色就能跟他們交談。
Do you really want to skip ahead and possibly miss the best part of the whole game (heh, heh, heh)?	你真的要跳過去，錯過整部遊戲最精采的部分嗎（嘿嘿嘿）？
Yes	是
Oops	哎呀
You're so impatient!	你也太沒耐性了吧！
Click here (or press <Ctrl-I> or <Tab>) to see what you are carrying in Inventory.	點這裡（或按 <Ctrl-I> 或 <Tab>）查看你身上帶的物品。
Click here (or press <Ctrl-C>) to bring up the Control Panel, where you may adjust how the game works.	點這裡（或按 <Ctrl-C>）叫出控制面板，可以調整遊戲的運作方式。
Click here to change to the Question Mark cursor, then pass the Question Mark over the other icons to learn what they do.	點這裡切換成「問號」游標，再把問號移到其他圖示上，就能了解它們的功能。
After you select an inventory item, it is displayed here. To use that item in the game, first click here to make it your cursor, then click that cursor on the main screen.	選好物品欄裡的東西後，會顯示在這裡。要在遊戲中使用該物品，先點這裡把它變成游標，再到主畫面點一下。
If this window is empty, click on the inventory icon to open the inventory window, then select an item there. (The inventory icon is the saddle bag just to the right of your Question Mark.)	如果這個視窗是空的，就點物品欄圖示打開物品欄視窗，再從裡面選一項。（物品欄圖示是問號右邊那個馬鞍袋。）
Click this here icon to leave the present scene.	點這個圖示就能離開目前的畫面。
You're way too busy right now to do that. Try again later.	你現在忙得很，沒空做那件事，晚點再試試看。
Going to spend a little time catching up on your professional reading, Freddy?	打算花點時間看看你的專業書籍嗎，佛萊迪？
Don't quit now!	現在別放棄啊！
Quit	結束
When this icon is available, you may click here to "Fast Forward" to the next interactive part of the game.	這個圖示可用時，點一下就能「快轉」到遊戲下一個互動段落。
This area displays the number of points you have earned so far, followed by the maximum score possible.	這裡顯示你目前拿到的分數，後面是滿分。
Do you really want to start the game over again from the very beginning?	你真的要從頭重新開始這款遊戲嗎？
Restart the Game?	重新開始遊戲？
Restart	重新開始
Restore	讀取存檔
Continue	繼續
Play	開始
Help	說明
Prologue	序幕
You're beginning to feel a little light-headed. Better use your gas mask!	你開始覺得有點頭暈了，最好戴上防毒面具！
Ahh! Now you can see this prescription the way Doc wrote it.	啊哈！現在你能看清楚大夫原本寫的處方箋了。
Memory fragmented	記憶體碎片化
So what?	那又怎樣？
Debug	除錯
< Pick a Puzzle >	＜挑選關卡＞
< Restore >	＜讀取存檔＞
Ready for Business	準備開張
Prescription #1	處方箋一
Prescription #2	處方箋二
Prescription #3	處方箋三
Corrected Prescription	修正後處方箋
Preparation G	G藥膏
Sheriff Shutdown	撂倒警長
Gas Mask	防毒面具
Flatulent Horses	脹氣馬群
Snail Stampede	蝸牛暴走
Lemmings	旅鼠
Hire a Sidekick	雇用幫手
Contaminated Water	污染水源
Burning of Coarsegold	粗金鎮大火
Madame Ovaree	歐薇莉夫人
Arm Yourself	武裝自己
Target Practice	打靶練習
Quickdraw Practice	快槍練習
Dress Up	換裝
Card Shark	賭場老千
Rowdy Cowhands	鬧事牛仔
Lever Brothers	槓桿兄弟
Kenny's Quickdraw	小鬼肯尼的快槍
Schoolhouse Showdown	校舍對決
Trapped in Basement	困在地下室
Sword Fight	劍鬥
Killing Kenny	殺死肯尼
< Act 1 >	＜第一幕＞
< Act 2 >	＜第二幕＞
< Act 3 >	＜第三幕＞
< Act 4 >	＜第四幕＞
< Epilogue >	＜尾聲＞
Pick a Puzzle	挑選關卡
Where to, Pardner?	要去哪兒，夥計？
Pick a Puzzle	挑選關卡
FREDDY PHARKAS, FRONTIER PHARMACIST is brought to you in living VGA by the hombres out at Sierra On-Line, Inc. and Screw Loose Amusements.	《多情藥師酷牛仔》以全彩VGA呈現，獻給各位的是Sierra On-Line公司與Screw Loose Amusements的好漢們。
Designed and written by Al Lowe and Josh Mandel	設計與編劇：Al Lowe 與 Josh Mandel
Produced and Directed by Josh Mandel	製作與導演：Josh Mandel
Authentic Western Art by Bob Gleason, Ruben Huante, Phy "No Relation" Williams, and Karin Young	道地西部美術：Bob Gleason、Ruben Huante、Phy「沒有親戚關係」Williams，以及 Karin Young
Authentic Western Programming by Steve Conrad, William R. Shockley, and Cynthia L. Swafford	道地西部程式設計：Steve Conrad、William R. Shockley，以及 Cynthia L. Swafford
Authentic Western CD-ROM Conversions by Steve Conrad and William Shockley	道地西部光碟版轉製：Steve Conrad 與 William Shockley
Authentic Western Audio Engineering by Dan Kehler, Rick Spurgeon, and Kelli Spurgeon	道地西部音效工程：Dan Kehler、Rick Spurgeon，以及 Kelli Spurgeon
Authentic Western Voices by Cam Clarke as Freddy Pharkas Neil Ross as The Narrator Kath Soucie as Penelope Primm Lewis Arquette as Whittlin' Willy Michael Gough as Kenny the Kid	道地西部配音：Cam Clarke 飾 佛萊迪·法卡斯｜Neil Ross 飾 旁白｜Kath Soucie 飾 潘妮洛普｜Lewis Arquette 飾 削木威利｜Michael Gough 飾 小鬼肯尼
Authentic Western Voices by Jan Rabson as Sam Andreas Richard Paul as Chester Field Susan Silo as Helen Back Nicolas Guest as Srini Lewis Arquette as P. H. Balance	道地西部配音：Jan Rabson 飾 山姆·安德烈亞斯｜Richard Paul 飾 切斯特·菲爾德｜Susan Silo 飾 海倫·貝克｜Nicolas Guest 飾 斯里尼｜Lewis Arquette 飾 P. H. 巴蘭斯
Authentic Western Voices by Jan Rabson as Wheaton "Aces" Hall Michael Gough as Salvatore O'Hannahan Susan Silo as Madame Ovaree Nicolas Guest as Hop Singh	道地西部配音：Jan Rabson 飾 「王牌」惠頓·霍爾｜Michael Gough 飾 薩瓦多·歐哈納翰｜Susan Silo 飾 歐薇莉夫人｜Nicolas Guest 飾 阿星
Authentic Western Voices by Bill Bryant as Doc Gillespie Jocko Marcellino as Smithie Richard Paul as Sheriff "Chicken" Shift Jan Rabson as Diamond Jim Laffer	道地西部配音：Bill Bryant 飾 大夫吉勒斯比｜Jocko Marcellino 飾 鐵匠史密｜Richard Paul 飾 警長「膽小鬼」席夫特｜Jan Rabson 飾 鑽石吉姆·拉弗
Authentic Western Voice Direction by Al Lowe	道地西部配音指導：Al Lowe
Authentic Western Voiceovers Produced by Dan Kehler	道地西部配音製作：Dan Kehler
Authentic Western Music & Sounds by Aubrey Hodges	道地西部音樂與音效：Aubrey Hodges
and Authentic Western Quality Assurance by Mike W. Pickhinke	以及道地西部品質保證：Mike W. Pickhinke
Additional Animation and Mondo Thanks To: Jeff Crowe, Joan Delehanty, Maria Fruehe, Gloria Garland, Michael Hutchison, Tony Margioni, Jerry Moore, Cindy Walker, Chris "Smokehouse" Willis, and Deanna Yhalkee	額外動畫與衷心感謝：Jeff Crowe、Joan Delehanty、Maria Fruehe、Gloria Garland、Michael Hutchison、Tony Margioni、Jerry Moore、Cindy Walker、Chris「煙燻屋」Willis，以及 Deanna Yhalkee
Special Guest Programming by Doug Oldfield, Carlos Escobar, and Brian K. Hughes	特別客串程式設計：Doug Oldfield、Carlos Escobar，以及 Brian K. Hughes
Customer Service Liaisonin' by Larry Buchanan and Mike Weiner	客服聯繫：Larry Buchanan 與 Mike Weiner
Systems Programming by Vana Baker, Ed Critchlow, Dan Foy, J. Mark Hood, Brian K. Hughes, Ken Koch, Jack Magne, Terry McHenry, Martin Peters, Larry Scott, Christopher Smith, and Mark Wilden	系統程式設計：Vana Baker、Ed Critchlow、Dan Foy、J. Mark Hood、Brian K. Hughes、Ken Koch、Jack Magne、Terry McHenry、Martin Peters、Larry Scott、Christopher Smith，以及 Mark Wilden
Special Thanks To: Bob Ballew, Donovan Holmes, Jeff & Jon Martin, Rick Spurgeon, Nathan Gams, Alan Mandel, and the Freddy Pharkas Beta Testers	特別感謝：Bob Ballew、Donovan Holmes、Jeff & Jon Martin、Rick Spurgeon、Nathan Gams、Alan Mandel，以及《多情藥師酷牛仔》的測試玩家們
If you're not enjoying FREDDY PHARKAS, FRONTIER PHARMACIST, you will no doubt also dislike Al Lowe's other groundbreaking comedy adventure games:	如果你不喜歡《多情藥師酷牛仔》，想必也不會喜歡 Al Lowe 其他開創性的喜劇冒險遊戲：
|c0|Leisure Suit Larry in the Land of the Lounge Lizards,|c| |c1|Leisure Suit Larry 2: Leisure Suit Larry Goes Looking For Love (In Several Wrong Places),|c| |c2|Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals,|c| |c0|Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,|c| and |c3|Leisure Suit Larry 6: Shape Up or Slip Out!|c|	|c0|《花花公子拉瑞：酒廊蜥蜴樂園》，|c| |c1|《花花公子拉瑞2：拉瑞四處尋愛（去了不少糟糕地方）》，|c| |c2|《花花公子拉瑞3：熱情佩蒂追逐悸動的胸肌》，|c| |c0|《花花公子拉瑞5：熱情佩蒂的臥底任務》，|c| 以及 |c3|《花花公子拉瑞6：健身還是滾蛋！》|c|
These and all the other fine Sierra products (including the handy six-pack of FREDDY PHARKAS, FRONTIER PHARMACIST), are available from Sierra. See your Game Manual.	以上作品及其他優質 Sierra 產品（包括方便的六入裝《多情藥師酷牛仔》），皆可向 Sierra 購買。詳見遊戲手冊。
Hints are available on our 24-hour Automated Hint Line. See your Game Manual.	我們的24小時自動提示專線提供攻略提示，詳見遊戲手冊。
Hint Books may be purchased from our Sales Department. See your Game Manual.	攻略本可向我們的業務部門購買，詳見遊戲手冊。
Our Customer Support people can help you with your technical problems, disk replacements, etc. See your Game Manual.	我們的客服人員可協助你處理技術問題、更換磁片等事宜，詳見遊戲手冊。
This half-hour infomercial has been brought to you by Screw Loose Amusements, the Freddy Pharkas team. Now back to the game, already in progress.	這段半小時的置入性廣告由Screw Loose Amusements（多情藥師酷牛仔製作團隊）為您獻上。現在，回到已經開始的遊戲。
You scrape the clay off and discard it, leaving you with a gleaming silver ear! Beautifully done! With an ear like this, you could (dare I say it) RULE THE WORLD! Nyah-ha-ha-ha!	你把黏土刮掉丟棄，留下一只閃閃發亮的銀耳朵！做得漂亮！有這麼一只耳朵，你（我敢說）簡直能統治世界！哈哈哈哈！
Your "ear mold" (yuch!) is now filled with the melted silver from your award medallion. (Y'know, they're NOT going to send Srini another medallion!)	你的「耳模」（噁！）現在灌滿了獎章融化後的銀水。（你知道嗎，他們才不會再寄一面獎章給斯里尼呢！）
Those two just don't go together.	這兩樣東西根本兜不起來。
You try tearing open a sack with your bare hands, but in the never-ending battle of Man vs. Burlap, you lose.	你試著徒手撕開麻袋，但在這場「人類對麻布」的永恆戰爭中，你輸了。
You intended to order one sack of baking soda. Owing to an administrative error, you are now the proud possessor of one hundred forty-four sacks of baking soda... and the superhuman strength required to carry it around. How gross!	你原本只想訂一袋小蘇打粉。由於行政疏失，你現在自豪地擁有一百四十四袋小蘇打粉……以及扛著它們到處走的超人力氣。真夠噁心的！
With muscles bulging from years of grappling with childproof caps, you deftly wield the church key and wrench the tops from all the beer bottles.	多年來與兒童安全瓶蓋搏鬥練出的肌肉派上用場，你俐落地揮動開瓶器，把所有啤酒瓶蓋都扭開了。
Sorry, Mr. Anheuser only recently developed the bottle-cap. Mr. Busch hasn't begun to think about the twist-off tops yet!	抱歉，Anheuser先生才剛研發出瓶蓋，Busch先生根本還沒想到旋轉式瓶蓋這回事！
This is your case of Loebrau, "The Beer that Gave St. Louis Blues." All 24 bottles are tightly stoppered with those newfangled metal bottle-caps.	這是你那箱「羅布勞」啤酒，「讓聖路易憂鬱的啤酒」。24瓶全都用那種新奇的金屬瓶蓋緊緊封著。
You reach inside your old boots and find... the rotting remains of a pair of nasty old Odor Beaters!	你伸手探進舊靴子裡，找到……一雙噁心舊除臭墊的腐朽殘骸！
Sigh. These passenger pigeon-skin boots bring back memories... of the days before Kenny the Kid gave you an ear job.	唉。這雙旅鴿皮靴讓你想起往事……小鬼肯尼幫你「動耳朵手術」之前的日子。
What are you trying to do, open the bullets? Not a smart endeavor!	你想幹嘛，把子彈打開嗎？這可不是聰明的舉動！
Tons o' ammo! Hot lead! Hollow-points! Dum-dums!	一堆彈藥！燙手的鉛彈！空尖彈！達姆彈！
You try to mold the wax with your bare hands, but the wax is just a bit too stiff to handle. (A feeling not wholly unfamiliar to you!)	你試著徒手捏塑蠟塊，但蠟塊硬得有點難處理。（這種感覺你並不陌生！）
With your newly-acquired whittlin' skills, you carve the candle wax into the shape of an ear, one that should theoretically attach snugly to the remains of your original ear. But now look at the gunk on Willy's knife!	憑著新學會的削木手藝，你把蠟燭雕成一只耳朵的形狀，理論上該能緊密接到你原本耳朵的殘餘部位上。可是你看看威利刀上沾的那些黏糊糊的東西！
I'll toss this knife over here where Willy might find it. He'll probably think he dropped it here!	我把這把刀丟在這裡，威利應該會找到。他大概會以為是自己掉在這裡的！
Yeah. Sure.	對啊，可不是嘛。
