Jeepers, I'm sorry, Mom. I'll do it right this time, just you wait and see.	Jeepers, I'm sorry, Mom. I'll do it right this time, just you wait and see.
See that you do! And don't you dare charge me for this until you get it RIGHT!	See that you do! And don't you dare charge me for this until you get it RIGHT!
I won't, I won't, consider it stricken from your tab.	I won't, I won't, consider it stricken from your tab.
This is Helen Back, proprietor of Mom's Cafe.	This is Helen Back, proprietor of Mom's Cafe.
To get good food in Coarsegold, you have to go to Helen Back!	To get good food in Coarsegold, you have to go to Helen Back!
So, how's the restaurant business?	So, how's the restaurant business?
Heh. Don't ask.	Heh. Don't ask.
Okay, sorry.	Okay, sorry.
I swear my delicate constitution ain't up to the heat and flies this year. Hop Singh's spendin' more time swattin' flies than he is in the kitchen, he hardly has time to wash his hands. 'Course we ain't gettin' nuthin' delivered on time anymore 'cuz of the train; we gotta get our produce by Pony Express, and it ain't too pretty oncet gets here.	I swear my delicate constitution ain't up to the heat and flies this year. Hop Singh's spendin' more time swattin' flies than he is in the kitchen, he hardly has time to wash his hands. 'Course we ain't gettin' nuthin' delivered on time anymore 'cuz of the train; we gotta get our produce by Pony Express, and it ain't too pretty oncet gets here.
"Pony Express: When It Positively, Absolutely Has to Be There By The Industrial Revolution."	"Pony Express: When It Positively, Absolutely Has to Be There By The Industrial Revolution."
But I don't wanna complain. Just get my prescription filled, will you? There's a lad.	But I don't wanna complain. Just get my prescription filled, will you? There's a lad.
Hands off, buster. What do I look like, one of the Madame's girls? I'm a respectable woman! I run Mom's Cafe! I've got children your age, though of course you wouldn't know it to look at me! I'M SOMEONE'S MOTHER, for corn sake! So show me some RESPECT and just KEEP your HANDS to yourSELF! Now fill my prescription or I'll break your fingers.	Hands off, buster. What do I look like, one of the Madame's girls? I'm a respectable woman! I run Mom's Cafe! I've got children your age, though of course you wouldn't know it to look at me! I'M SOMEONE'S MOTHER, for corn sake! So show me some RESPECT and just KEEP your HANDS to yourSELF! Now fill my prescription or I'll break your fingers.
Does that look anything like my prescription?	Does that look anything like my prescription?
No, but...	No, but...
