It isn't.	It isn't.
Take it away.	Take it away.
We don't do any GRILLING here, you fool! We FRY!	We don't do any GRILLING here, you fool! We FRY!
Oh, if only she would!	Oh, if only she would!
Do I look like a person who's lost a key?	Do I look like a person who's lost a key?
Not exactly, but...	Not exactly, but...
Then take it away! Honestly, some people's children.	Then take it away! Honestly, some people's children.
That's not going to be ready 'til Tuesday.	That's not going to be ready 'til Tuesday.
Oh. I was hoping to...	Oh. I was hoping to...
It was a joke. A JOKE! Do you even understand what a joke is? Honestly.	It was a joke. A JOKE! Do you even understand what a joke is? Honestly.
That's clay! What am I supposed to do with it? Are you implying my complexion isn't what it ought to be?	That's clay! What am I supposed to do with it? Are you implying my complexion isn't what it ought to be?
No, I'm...	No, I'm...
Then take it away. I've never been so insulted in all my life.	Then take it away. I've never been so insulted in all my life.
Nothing HERE needs cleaning! We thoroughly wash everything before serving it. Isn't that right, Hop Singh?	Nothing HERE needs cleaning! We thoroughly wash everything before serving it. Isn't that right, Hop Singh?
You told me not to waste water except when health department man...	You told me not to waste water except when health department man...
It was a rhetorical question, dammit. Hop Singh: back to work. Freddy: stop pestering me.	It was a rhetorical question, dammit. Hop Singh: back to work. Freddy: stop pestering me.
I wouldn't be caught DEAD in an outfit like that! What do I look like, some sort of cowboy?	I wouldn't be caught DEAD in an outfit like that! What do I look like, some sort of cowboy?
No, cowboys don't put on their makeup with putty knives!	No, cowboys don't put on their makeup with putty knives!
If you don't like it, you don't have to drink it.	If you don't like it, you don't have to drink it.
You idiot, it's the HORSES that are sick, not my customers! They're all happily dining on my freshly-cooked specialties.	You idiot, it's the HORSES that are sick, not my customers! They're all happily dining on my freshly-cooked specialties.
Well, I never!	Well, I never!
Maybe that's why she's so tense and irritable all the time.	Maybe that's why she's so tense and irritable all the time.
I don't need that! I never get indigestion!	I don't need that! I never get indigestion!
You eat here, don't you?	You eat here, don't you?
Heavens no! I send out. What do you think I am, crazy?	Heavens no! I send out. What do you think I am, crazy?
I don't want your steenkin' empties!	I don't want your steenkin' empties!
You've got something absolutely putrid in that bag, Freddy Pharkas!	You've got something absolutely putrid in that bag, Freddy Pharkas!
So you want me to take it out of the restaurant?	So you want me to take it out of the restaurant?
You might as well. We've already prepared the Blue Plate Special for today.	You might as well. We've already prepared the Blue Plate Special for today.
Well, that's a fine how-do-you-do! Walking in here with a doggie bag and expecting me to fill it for you.	Well, that's a fine how-do-you-do! Walking in here with a doggie bag and expecting me to fill it for you.
I wasn't...	I wasn't...
Oh, of course you were. I don't want to hear another word about it.	Oh, of course you were. I don't want to hear another word about it.
We're SAFE in here, you dolt! There's no gas in here!	We're SAFE in here, you dolt! There's no gas in here!
Really? Has she tried the Chili 'n Broccoli Surprise?	Really? Has she tried the Chili 'n Broccoli Surprise?
That filth will attract flies! Get it out of here at once! You are truly disgusting! I'm flabbergasted! I'm speechless!	That filth will attract flies! Get it out of here at once! You are truly disgusting! I'm flabbergasted! I'm speechless!
As if!	As if!
Tell me, what do I need an ice pick for when I've got Hop Singh's hands? They're deadly weapons! They're registered!	Tell me, what do I need an ice pick for when I've got Hop Singh's hands? They're deadly weapons! They're registered!
I don't remember needing anything from the Pharmacy right now. So pawn it off on one of your other victims!	I don't remember needing anything from the Pharmacy right now. So pawn it off on one of your other victims!
