Will not.	才沒有。
Will too.	就是有。
Not.	沒有。
Too.	就有。
I refuse to play this juvenile word game with you.	我才不要跟你玩這種幼稚的文字遊戲。
What are you doing now, repeating everything I say?	你現在是在幹嘛，我說什麼你都要跟著講一遍？
So THAT'S why they call you "Kenny the |c2|Kid|c|!" Because you're nothing but an immature little child, an anal-retentive case of arrested development, with an unresolved Oedipal complex and probably co-dependent to boot! You were a punk when I faced you back in St. Louie, and you're still a punk!	原來這就是為什麼大家都叫你「|c2|小鬼|c|肯尼」的原因啊！因為你根本就是個長不大的屁孩，一個肛門期人格沒發展完全的傢伙，還帶著沒解決的戀母情結，搞不好還有依賴型人格！我在聖路易跟你交手的時候你就是個小混混，現在還是個小混混！
Say your prayers, Outlaw.	禱告去吧，亡命之徒。
NOW CUT THAT OUT!	給我住手！
St. Louis? I didn't know anybody with a silver ear in St. Louis. Yet somehow you seem vaguely familiar...	聖路易？我不記得在聖路易認識什麼裝銀耳朵的人。不過你看起來就是有點眼熟…
Maybe we'll have time to compare yearbook photos... IN HELL!	也許我們可以找時間比對畢業紀念冊的照片…在地獄裡比對！
Your respect for frontier etiquette won't let you draw first. Wait 'till you see Kenny start to draw, then do your best!	你對西部禮節的堅持讓你不肯先拔槍。等看到肯尼動手，你再盡全力吧！
And as the blood runs from your body, so do your hopes of saving Coarsegold and achieving legendary Western Hero status.	隨著血從你身上流盡，拯救粗金鎮、成為傳奇西部英雄的希望也跟著流光了。
Welp, ya knocked the gun outta my hand, Hero, but it warn't good enuf to keep me from hittin' YOU first! Sorry I got a mite sloppy when I PIERCED YER EAR! Har har! Looks like you'll bleed to death in a few seconds. Guess I can now tell Penelope that yew won't be interferin' with her plans anymore.	哼，你是把我手上的槍打掉了沒錯，英雄，可惜還是沒能攔住我搶先賞你一發！可惜我下手的時候手滑了一下，正好轟在你耳朵上！哈哈哈！看樣子你再過幾秒就要失血而死啦。這下我可以跟潘妮洛普講，說你再也礙不了她的事囉。
Penelope?!	潘妮洛普？！
What did he say? Your head's swimming, but you're sure he said, "Penelope!" Could it be? Her? Could SHE be the cause of all this?	他剛剛說什麼？你頭昏眼花，但你很確定他說了「潘妮洛普」！難道是…她？難道這一切都是她搞的鬼？
It's your "lucky" red neckerchief. Once again, it doesn't seem to be working!	這是你那條「幸運」紅領巾。看來這次它又不靈了！
You weakly pull the neckerchief from around your neck.	你有氣無力地把領巾從脖子上扯下來。
You've looked better.	你以前氣色好看多了。
You poke yourself. You're still alive, but barely.	你戳了自己一下。你還活著，但也只是勉強而已。
Trying to put yourself out of your misery? What are you, a man or a horse? Save yourself!	想自我了斷嗎？你到底是人還是馬？快想辦法救自己吧！
It's your good ear... or what's left of it!	這是你完好的那隻耳朵…或者該說，是剩下的部分！
The blood runs through your fingers. Ecccccch!	血從你的指縫間流出。噁∼！
You place your lucky neckerchief on your ear and press on it to staunch the flow of blood.	你把幸運領巾按在耳朵上，設法止住血流。
