A child's slate sits rests on a nearby desk.	A child's slate sits rests on a nearby desk.
When I say "Drop 'em," I mean "Drop 'em!"	When I say "Drop 'em," I mean "Drop 'em!"
When Freddy stepped inside, Penelope wuz standin' at the desk, packin' in a hurry. She didn't even notice him come in. Gazin' at her like that, Freddy saw her fer the conniving snake-in-the-grass she really wuz.	When Freddy stepped inside, Penelope wuz standin' at the desk, packin' in a hurry. She didn't even notice him come in. Gazin' at her like that, Freddy saw her fer the conniving snake-in-the-grass she really wuz.
HEY, PENELOPE! What gives??	HEY, PENELOPE! What gives??
Oh... why, it's you! The silver handsome-eared stranger!	Oh... why, it's you! The silver handsome-eared stranger!
Handsome silver-eared stranger, you mean.	Handsome silver-eared stranger, you mean.
Oh, right! I... uh... I thought Kenny'd taken care of you...	Oh, right! I... uh... I thought Kenny'd taken care of you...
Are you kidding? He did just the OPPOSITE. He HURT me! Just look at my ear!	Are you kidding? He did just the OPPOSITE. He HURT me! Just look at my ear!
Why, you poor man... you poor, brave cowboy... you're wounded. Here, allow me to tear a strip off my undergarment...	Why, you poor man... you poor, brave cowboy... you're wounded. Here, allow me to tear a strip off my undergarment...
Penelope slowly moved her hands up to her bodice... and began to carefully unbutton it... one button at a time... staring straight into Freddy's eyes...	Penelope slowly moved her hands up to her bodice... and began to carefully unbutton it... one button at a time... staring straight into Freddy's eyes...
You know, ever since I saw you capture that big, bad gambler at the Saloon, I've been thinking about you... thinking about how I wanted you...	You know, ever since I saw you capture that big, bad gambler at the Saloon, I've been thinking about you... thinking about how I wanted you...
She slowly slipped her hands under the fabric.	She slowly slipped her hands under the fabric.
Could this be MY Penelope? Is it hot in here, or is it just me?	Could this be MY Penelope? Is it hot in here, or is it just me?
...thinking about how I |c2|needed|c| you...	...thinking about how I |c2|needed|c| you...
And before Freddy knew it, Penelope yanked a Derringer from her bosom and aimed it at him!	And before Freddy knew it, Penelope yanked a Derringer from her bosom and aimed it at him!
...DEAD, that is! Drop 'em, gunslinger! NOW!	...DEAD, that is! Drop 'em, gunslinger! NOW!
You grab the slate, and whip it around just in the nick of time!	You grab the slate, and whip it around just in the nick of time!
As you bend down to pick up your gunbelt, Penelope hurls the Derringer straight at your head!	As you bend down to pick up your gunbelt, Penelope hurls the Derringer straight at your head!
You resignedly unbuckle your holsters, letting your guns slip to the floor. Penelope appears to relax a little, but her finger is still on the trigger of the Derringer. Looks like she might shoot at any moment!	You resignedly unbuckle your holsters, letting your guns slip to the floor. Penelope appears to relax a little, but her finger is still on the trigger of the Derringer. Looks like she might shoot at any moment!
A couple of Civil War swords, or at least fabulous replicas from the Frankenheimer Mint, are mounted high up on the wall.	A couple of Civil War swords, or at least fabulous replicas from the Frankenheimer Mint, are mounted high up on the wall.
There's no way to reach that when Penelope's got a gun pointed straight at you!	There's no way to reach that when Penelope's got a gun pointed straight at you!
It's a copy of AMERICAN HISTORY FROM THEN 'TIL NOW. All 33 pages' worth!	It's a copy of AMERICAN HISTORY FROM THEN 'TIL NOW. All 33 pages' worth!
Now's no time to brush up on the American Revolution! All 33,000 deaths worth!	Now's no time to brush up on the American Revolution! All 33,000 deaths worth!
This is the one-room schoolhouse. It's a lot dingier and darker on the inside than it looked from the outside... just like Penelope!	This is the one-room schoolhouse. It's a lot dingier and darker on the inside than it looked from the outside... just like Penelope!
Now's not the time for idle chit-chat! It's time for ACTION!	Now's not the time for idle chit-chat! It's time for ACTION!
That won't help you |c0|now|c|, Freddy!!	That won't help you |c0|now|c|, Freddy!!
It's a fascinating book about Puff and Spot... a dragon and a soda-pop character. You've got no time for Sex Ed right now!	It's a fascinating book about Puff and Spot... a dragon and a soda-pop character. You've got no time for Sex Ed right now!
You've got no time to brush up on your reading skills!	You've got no time to brush up on your reading skills!
It's all about Bob, Dick 'n Jane. And how much fun it was for Bob and Jane!	It's all about Bob, Dick 'n Jane. And how much fun it was for Bob and Jane!
Some old camel's hair paintbrushes sit on the shelf. Just in case the kids decide they want to paint some camel hair!	Some old camel's hair paintbrushes sit on the shelf. Just in case the kids decide they want to paint some camel hair!
This is no time for arts 'n crafts!	This is no time for arts 'n crafts!
The latest and greatest American Flag stands limply at attention. A feeling not wholly unfamiliar to you!	The latest and greatest American Flag stands limply at attention. A feeling not wholly unfamiliar to you!
This would be a terrible time to wrap yourself in the flag! It has a very low armor factor!	This would be a terrible time to wrap yourself in the flag! It has a very low armor factor!
There's a large chalkboard on the wall behind the teacher's desk.	There's a large chalkboard on the wall behind the teacher's desk.
Wait 'til the teacher calls on you. And somehow, you don't think she will!	Wait 'til the teacher calls on you. And somehow, you don't think she will!
Looks like somebody started a very nice portrait of George Washington... the Father of Plywood Dentures!	Looks like somebody started a very nice portrait of George Washington... the Father of Plywood Dentures!
Now's no time to be taking pictures!	Now's no time to be taking pictures!
That's one of the hanging lamps that helps illuminate the peaceful, yearning, upturned faces of the ignorant and uneducated... who come in on Parents' Day to see how their children are doing.	That's one of the hanging lamps that helps illuminate the peaceful, yearning, upturned faces of the ignorant and uneducated... who come in on Parents' Day to see how their children are doing.
There's more than enough light for you to see what you need to do.	There's more than enough light for you to see what you need to do.
You see row upon row of quaint school desks, complete with one-piece bench, desktop and ink well. Eww, one of 'em still has a pigtail stuck in it.	You see row upon row of quaint school desks, complete with one-piece bench, desktop and ink well. Eww, one of 'em still has a pigtail stuck in it.
You briefly consider throwing or hiding behind a desk, but decide instead that cool concentration and cunning are the secrets to bringing this encounter to a quick and just conclusion.	You briefly consider throwing or hiding behind a desk, but decide instead that cool concentration and cunning are the secrets to bringing this encounter to a quick and just conclusion.
The left window is closed.	The left window is closed.
What are you trying to do, beat a hasty retreat? Deal with the problem at hand, Freddy!	What are you trying to do, beat a hasty retreat? Deal with the problem at hand, Freddy!
This window's propped open.	This window's propped open.
Your life is in jeopardy. Don't make things worse by making the room stuffier. And no, you can't escape by leaping from the window! Penelope would run you through the moment you turned your back.	Your life is in jeopardy. Don't make things worse by making the room stuffier. And no, you can't escape by leaping from the window! Penelope would run you through the moment you turned your back.
This stove keeps the kiddies warm in the winter, and dries their mukluks.	This stove keeps the kiddies warm in the winter, and dries their mukluks.
The stove is cold and empty. How like Penelope's heart!	The stove is cold and empty. How like Penelope's heart!
Some old chunks of hardwood sit in the scuttle.	Some old chunks of hardwood sit in the scuttle.
Neither the chunks of wood nor the scuttle itself will help you out this mess!	Neither the chunks of wood nor the scuttle itself will help you out this mess!
It's a rickety wooden bucket, long past usefulness and into the "quaint decor" mode.	It's a rickety wooden bucket, long past usefulness and into the "quaint decor" mode.
The old wooden bucket isn't sturdy enough to be of any use.	The old wooden bucket isn't sturdy enough to be of any use.
There's a large, colorful map of California on the wall.	There's a large, colorful map of California on the wall.
You can brush up on your geography |c0|later!|c| Have you tried playing "Gold Rush?"	You can brush up on your geography |c0|later!|c| Have you tried playing "Gold Rush?"
There's a small map of the United States. Have you noticed how California, on the map to the right, appears to be larger than all the United States put together? That's California ego for you!	There's a small map of the United States. Have you noticed how California, on the map to the right, appears to be larger than all the United States put together? That's California ego for you!
Perfect! You grab the map, roll it up, and konk Penelope over the head with it. Not!	Perfect! You grab the map, roll it up, and konk Penelope over the head with it. Not!
How nice! Some of the children's artwork has been placed up on the wall for all to admire.	How nice! Some of the children's artwork has been placed up on the wall for all to admire.
Say, if only somebody would invent a box with an electric heat exchange unit and some sort of gaseous coolant, you could use magnets to affix these pictures to the outside of the box and display them thusly in a kitchen!	Say, if only somebody would invent a box with an electric heat exchange unit and some sort of gaseous coolant, you could use magnets to affix these pictures to the outside of the box and display them thusly in a kitchen!
But that's not important right now.	But that's not important right now.
You resolve to return at a calmer moment and retrieve some of these pictures to decorate your pharmacy.	You resolve to return at a calmer moment and retrieve some of these pictures to decorate your pharmacy.
There's an old broomstick leaning against the wall.	There's an old broomstick leaning against the wall.
No need to take the broom. It's not like you have to bring it back to the Wizard as proof that you defeated Penelope.	No need to take the broom. It's not like you have to bring it back to the Wizard as proof that you defeated Penelope.
You see a bench, where the children sit to remove their mukluks.	You see a bench, where the children sit to remove their mukluks.
It's too heavy to be hurled effortlessly. Or even picked up. Or just moved.	It's too heavy to be hurled effortlessly. Or even picked up. Or just moved.
A row of pegs for coats is hung on the wall here. Looks like one of the children forgot to take his or her coat. There's gonna be hell to pay at home later!	A row of pegs for coats is hung on the wall here. Looks like one of the children forgot to take his or her coat. There's gonna be hell to pay at home later!
You rifle through the child's coat pockets, looking for loot, but you find nothing. You crum!	You rifle through the child's coat pockets, looking for loot, but you find nothing. You crum!
There on the wall are a couple of small daguerreotypes. Looks like the kids took some crayons to 'em.	There on the wall are a couple of small daguerreotypes. Looks like the kids took some crayons to 'em.
Those li'l pictures are too flimsy to be of any use to you.	Those li'l pictures are too flimsy to be of any use to you.
The teacher's desk stands on the raised platform.	The teacher's desk stands on the raised platform.
Nothing on the desk looks immediately useful to you.	Nothing on the desk looks immediately useful to you.
