That would probably do something, but nothing you need to do now.	那樣大概會有點反應，不過現在還用不著。
That's just another bit of authentic Western scenery.	那不過是道地西部風景的一部分罷了。
You can't think of anything to say to that.	你實在想不出該對它說什麼。
You can't walk there; at least, not thisaway.	你走不過去；至少，不是走這條路。
There's no need to touch that.	沒必要去碰那個。
That just doesn't work like that.	那樣是行不通的。
Door Key	大門鑰匙
Shot Glass	烈酒杯
Ice Pick	碎冰錐
Baking Soda	小蘇打
Play	開始
Help	說明
Quit	離開
Prologue	序幕
Restore	載入
Once the heart of a thriving business district, there's not much left of beautiful downtown Coarsegold now.	這裡曾是繁華商圈的心臟地帶，如今粗金鎮的美麗市中心，也沒剩下什麼了。
