You're not going to show me your handkerchief trick, are you?	You're not going to show me your handkerchief trick, are you?
Thanks anyway!	Thanks anyway!
Sam scans the letter quickly.	Sam scans the letter quickly.
A letter to you from Phil Graves. So? Thanks for sharing it with me.	A letter to you from Phil Graves. So? Thanks for sharing it with me.
Yep, I've got one, too. It does get a little deep around here sometimes, doesn't it?	Yep, I've got one, too. It does get a little deep around here sometimes, doesn't it?
I prefer the less pungent, more mellow, fart-in-a-bag. Thanks for thinking of me, though.	I prefer the less pungent, more mellow, fart-in-a-bag. Thanks for thinking of me, though.
Nice of you to consider me, Fred. But I don't get motion sickness. You hang onto it.	Nice of you to consider me, Fred. But I don't get motion sickness. You hang onto it.
Is this for me? What a pal. Tell ya what, though, why don't you keep it for me? I've already got all that manure that Sadie, Smithie, Doc, and Chester brought me last month.	Is this for me? What a pal. Tell ya what, though, why don't you keep it for me? I've already got all that manure that Sadie, Smithie, Doc, and Chester brought me last month.
Looks like you've been doing some lost-wax casting. Not bad, for an amateur.	Looks like you've been doing some lost-wax casting. Not bad, for an amateur.
Doing some lost-wax casting, are you? What a guy.	Doing some lost-wax casting, are you? What a guy.
Nice mold. You're a multitalented individual, Fred.	Nice mold. You're a multitalented individual, Fred.
It's a good likeness, but is it art?	It's a good likeness, but is it art?
No, thanks. I've always heard it's unsafe to drink other people's prescriptions.	No, thanks. I've always heard it's unsafe to drink other people's prescriptions.
Not in the market, thanks.	Not in the market, thanks.
Looks like somebody scratched. And badly, too.	Looks like somebody scratched. And badly, too.
You've got more important things to do right now than play with those balls!	You've got more important things to do right now than play with those balls!
This roulette table is for Casino Night.	This roulette table is for Casino Night.
Now's a bad time to go for a spin. You've got responsibilities!	Now's a bad time to go for a spin. You've got responsibilities!
This dice game is known as Chuck-A-Luck. Since you're living in Coarsegold, you've apparently chucked your luck already.	This dice game is known as Chuck-A-Luck. Since you're living in Coarsegold, you've apparently chucked your luck already.
It won't do you any good. The dice are missing and this isn't Casino Night.	It won't do you any good. The dice are missing and this isn't Casino Night.
It's a Moose head. The only domestic brand Sam serves!	It's a Moose head. The only domestic brand Sam serves!
