Will not.	Will not.
Will too.	Will too.
Not.	Not.
Too.	Too.
I refuse to play this juvenile word game with you.	I refuse to play this juvenile word game with you.
What are you doing now, repeating everything I say?	What are you doing now, repeating everything I say?
So THAT'S why they call you "Kenny the |c2|Kid|c|!" Because you're nothing but an immature little child, an anal-retentive case of arrested development, with an unresolved Oedipal complex and probably co-dependent to boot! You were a punk when I faced you back in St. Louie, and you're still a punk!	So THAT'S why they call you "Kenny the |c2|Kid|c|!" Because you're nothing but an immature little child, an anal-retentive case of arrested development, with an unresolved Oedipal complex and probably co-dependent to boot! You were a punk when I faced you back in St. Louie, and you're still a punk!
Say your prayers, Outlaw.	Say your prayers, Outlaw.
NOW CUT THAT OUT!	NOW CUT THAT OUT!
St. Louis? I didn't know anybody with a silver ear in St. Louis. Yet somehow you seem vaguely familiar...	St. Louis? I didn't know anybody with a silver ear in St. Louis. Yet somehow you seem vaguely familiar...
Maybe we'll have time to compare yearbook photos... IN HELL!	Maybe we'll have time to compare yearbook photos... IN HELL!
Your respect for frontier etiquette won't let you draw first. Wait 'till you see Kenny start to draw, then do your best!	Your respect for frontier etiquette won't let you draw first. Wait 'till you see Kenny start to draw, then do your best!
And as the blood runs from your body, so do your hopes of saving Coarsegold and achieving legendary Western Hero status.	And as the blood runs from your body, so do your hopes of saving Coarsegold and achieving legendary Western Hero status.
Welp, ya knocked the gun outta my hand, Hero, but it warn't good enuf to keep me from hittin' YOU first! Sorry I got a mite sloppy when I PIERCED YER EAR! Har har! Looks like you'll bleed to death in a few seconds. Guess I can now tell Penelope that yew won't be interferin' with her plans anymore.	Welp, ya knocked the gun outta my hand, Hero, but it warn't good enuf to keep me from hittin' YOU first! Sorry I got a mite sloppy when I PIERCED YER EAR! Har har! Looks like you'll bleed to death in a few seconds. Guess I can now tell Penelope that yew won't be interferin' with her plans anymore.
Penelope?!	Penelope?!
What did he say? Your head's swimming, but you're sure he said, "Penelope!" Could it be? Her? Could SHE be the cause of all this?	What did he say? Your head's swimming, but you're sure he said, "Penelope!" Could it be? Her? Could SHE be the cause of all this?
It's your "lucky" red neckerchief. Once again, it doesn't seem to be working!	It's your "lucky" red neckerchief. Once again, it doesn't seem to be working!
You weakly pull the neckerchief from around your neck.	You weakly pull the neckerchief from around your neck.
You've looked better.	You've looked better.
You poke yourself. You're still alive, but barely.	You poke yourself. You're still alive, but barely.
Trying to put yourself out of your misery? What are you, a man or a horse? Save yourself!	Trying to put yourself out of your misery? What are you, a man or a horse? Save yourself!
It's your good ear... or what's left of it!	It's your good ear... or what's left of it!
The blood runs through your fingers. Ecccccch!	The blood runs through your fingers. Ecccccch!
You place your lucky neckerchief on your ear and press on it to staunch the flow of blood.	You place your lucky neckerchief on your ear and press on it to staunch the flow of blood.
With your last remaining ounce of strength, you pull yourself up and stumble off towards the schoolhouse... to see Penelope.	With your last remaining ounce of strength, you pull yourself up and stumble off towards the schoolhouse... to see Penelope.
Penelope... Penelope, the sweet... Penelope, my beloved... Penelope... the TRAITOR!	Penelope... Penelope, the sweet... Penelope, my beloved... Penelope... the TRAITOR!
Kenny's gun is still smoking. (Of course, that's very bad for its health!)	Kenny's gun is still smoking. (Of course, that's very bad for its health!)
Your hat, like all Western heroes' hats, stays on through just about ANYthing!	Your hat, like all Western heroes' hats, stays on through just about ANYthing!
Kenny the Kid looms over you, grinning cruelly.	Kenny the Kid looms over you, grinning cruelly.
You've never seen Main Street from this angle: lying half-dead in the middle of the street, your life swimming before your eyes as your blood pools in the dust... What a view! You imagine you'll never see a view like THIS again as long as you live!	You've never seen Main Street from this angle: lying half-dead in the middle of the street, your life swimming before your eyes as your blood pools in the dust... What a view! You imagine you'll never see a view like THIS again as long as you live!
You can hardly move. You can't reach anything beyond yourself.	You can hardly move. You can't reach anything beyond yourself.
Kenny has managed to shoot off a sizable portion of your GOOD ear!	Kenny has managed to shoot off a sizable portion of your GOOD ear!
You shoot the gun out of Kenny's hand! Unfortunately, you did it just after HE shot YOU!	You shoot the gun out of Kenny's hand! Unfortunately, you did it just after HE shot YOU!
Kenny looks down at you with pure, undisguised malice and disgust.	Kenny looks down at you with pure, undisguised malice and disgust.
