You must first place the balance pan on the balance.	你得先把秤盤放到天平上。
You don't need to weigh that mixture.	你不需要秤那份混合物。
You can't mix chemicals in the balance. Weigh one item at a time.	你不能在天平裡混合藥劑。一次只能秤一樣東西。
5 gm. Measuring Spatula	5公克 量藥匙
The spatula is already full of something. Empty it into an appropriate container before you do anything else with it.	量藥匙裡已經裝了東西。在做其他動作之前，先把它倒進合適的容器裡。
The spatula isn't suitable for measuring liquids.	量藥匙不適合用來量液體。
Click the spatula on the mixing device, not vice versa.	請把量藥匙點到調配器上，不是反過來。
Stirring Rod	攪拌棒
Your work area is a little dusty, but it's more than clean enough to continue your work.	你的工作檯有點灰塵，但乾淨程度絕對夠你繼續工作。
Click the chemical on the mixing device, not vice versa.	請把藥劑點到調配器上，不是反過來。
Place the chemical into the container, not vice versa.	把藥劑放進容器裡，不是反過來。
There's no need to measure it now, it's already mixed.	現在不需要量了，已經混合好了。
Click the measuring device on the container, not vice versa.	請把量具點到容器上，不是反過來。
Prescription Boxes	處方藥盒
Medicine Bottle	藥水瓶
You only need to work with one medicine bottle at a time. Dump the contents if you need to start over.	一次只能處理一個藥水瓶。要重來的話，先把裡面的東西倒掉。
Balance pan	秤盤
The balance pan is only for measuring unmixed chemicals.	秤盤只能用來秤未混合的藥劑。
You can't mix chemicals in the balance pan.	你不能在秤盤裡混合藥劑。
Disgusted at your inability to prepare the proper concoction, you discard your attempt in the waste receptacle and leave your laboratory.	你對自己配不出正確藥方感到厭煩，把失敗品丟進廢棄桶，離開了實驗室。
Gaseous Spectroscope	氣體光譜儀
Good idea, Freddy. The spectrum lines on that etched glass viewer reveal volumes to those who know how to read.	好主意，佛萊迪。那片蝕刻玻璃鏡上的光譜線，對懂得判讀的人來說能透露不少訊息。
The gaseous spectroscope doesn't work unless the alcohol lamp is lit and the spectroscope has been placed in front of the lamp.	除非先點燃酒精燈，並把光譜儀擺在燈前，否則氣體光譜儀無法運作。
Crucible	坩堝
The crucible is only for melting pure, or nearly pure, metals.	坩堝只能用來熔化純金屬，或接近純度的金屬。
Before leaving your lab, you remove the medallion from the crucible.	離開實驗室前，你把獎章從坩堝裡取出。
